HM Claim Recognition Date (yyyy/mm/dd),HM Fiscal Month (yyyy/mm),Model Year,Manufacturing plant code,Manufacturing plant code name,Series Code,Series Name,VIN,Transmission Class(Description),Transmission Type Code,Transmission Serial No.,Failed Part No. (1-5),Reference Parts Name,Replacement Part No. (1-13),Replacement Part Name,Quantity of Replaced Parts,Quantity of Replaced Parts Total,Repair Dealer No.,Local Claim No.,HM Claim No.,Customer Voice,Defect Code,Defect Name,Repair Order Date (yyyy/mm/dd),Production Date (yyyy/mm/dd),Mileage (Mile),Applying Country Code,Applying Country Name,Approved Freight Total Amount (USD),Approved Labor Cost Total Amount (USD),Approved Material Total Amount (USD),Approved Part Total Amount (USD),Approved PLCA Total Amount (USD),Approved Sublet Total Amount (USD),Approved Tax Total Amount (USD),Approved Total Amount (USD),Total FRT,Debit/Credit,Debit/Credit Name,Debit/Credit Reason Description
2015-09-16,201509,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6850FU508978,9AT,Q5LH,60167,6224,"KIT,OIL COOLER",062245LH000,"KIT,OIL COOLER",1,1,CHE488 0,0013421449,202220150916000206,CUSTOMER REPORTS LEAKS FROM ENGINE - HAS LEFT TWO ROWS OF MARKS DOWN THE DRIVEWAY. TESS 244602. SORRY WE DO NOT HAVE PICTURES OF TH THREAD AS THE JOB IS NOW COMPLETE,-----,,2015-08-17,2015-07-17,445,GBR,United Kingdom,0,104.6,75.89,135.34,28.17,0.0,0,344.02,1.1,1,Regular,
2015-09-21,201509,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504857,9AT,Q5LH,29764,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,BEN139 0,0013458740,202220150921000109,CUSTOMER COMPLAINT LOSS OF DRIVE SPOKE TO HUK REF TESS 247170 AND BEING ADVISED TO REPLACE COMPLEATE TRANSMISSION DUE TO OIL LOSS,-----,,2015-09-09,2015-05-14,1512,GBR,United Kingdom,0,772.68,0.0,3691.41,768.55,0.0,0,5232.66,8.0,1,Regular,
2015-09-24,201509,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504735,9AT,Q5LH,29012,20021,"TRNS ASSY,BARE",062015LHE12,"KIT,AT-TRNS",1,1,71,0013428998,21H220150923000166,"SAMOCHOD PRZYHOLOWANY- DZIWNE DZWIEKI ZE SKRZYNI ZASWIECIALA KONTROLKA SILNIKA - WYCIEK OLEJU - KODY BLEDOW P07BE,P0841,B18EA,B1E9A -BRAK MOZLIWOSCI RUSZENIA-KONTAKT TESS 245410",-----,,2015-08-25,2015-05-13,714,POL,Poland,0,231.66,0.0,3858.57,1278.72,0.0,0,5368.97,6.1,1,Regular,
2015-10-14,201510,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU508084,9AT,Q5LH,54026,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,TR26013,0013491404,20T220151014000023,"ARACIN @ANZUMANINDAN YA] KA[A]I VAR ARA[TAN 1 L$TREYE YAKIN YA] [IKTI M""@TER$ $FADES$;  ARA[ KURTARICI $LE GELD$  MOTOR VE @ANZIMAN ARIZA LAMBASI YANIYOR",01102,Deteriorated,2015-10-01,2015-07-09,1063,TUR,Turkey,0,20.97,0.0,30.19,20.53,13.51,0,85.2,0.6,1,Regular,
2015-10-16,201510,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU509222,9AT,Q5LH,50923,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,543073,0013464876,207220151015000069,FUITE D'HUILE AUNIVEAU D'UN COUVERCLE DE PRESSION DE BOITE APR?S AVOIR FAIT UN PARCOURS LE CLIENT EN S'ARR?TANT A P?T VOIR UNE FUITE D'HUILE EN DESSOUS DU V?HICULE,-----,,2015-09-16,2015-07-21,2525,FRA,France,0,520.08,0.0,3821.44,1992.49,0.0,0,6334.01,6.1,1,Regular,
2015-10-20,201510,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU509805,9AT,Q5LH,62402,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,TR06013,0013507964,20T220151020000054,"@ANZUMANDA YA] KA[A]I VAR.13497292 NUMARALI CLA$MDE ONAY ALINDI. M""@TER$ UYARI LAMBASI YANDI]INI VE ARACIN G$TMED$]$N$ STOP ED$P [ALI@TIRDI]INDA D""ZELD$]$N$ $FADE ED$YOR.",07407,Insufficient sealing material,2015-10-12,2015-07-27,959,TUR,Turkey,0,20.86,131.68,30.04,20.42,0.0,0,203.01,0.6,1,Regular,
2015-10-24,201510,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6880FU508922,9AT,Q5LH,59710,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,02211,0013473748,245220151024000014,LE COUVERCLE EXT?RIEUR GAUCHE DE LA BOITE DE VITESSES FUIT. LES BOULONS SONT SERR? CORRECTEMENT. RIEN N'EST DESSERR?. IL FAUT REMPLAC? LE COUVERCLE AVEC SON JOINT ET VISSES. CLIENT SIGNALE GRANDE FUITE HUILE SOUS V?HICULE,-----,,2015-09-22,2015-07-17,1564,CHE,Switzerland,0,237.64,391.93,25.45,17.7,0.0,0,672.73,1.6,1,Regular,
2015-11-02,201511,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU510681,9AT,Q5LH,63869,6201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,1,08015,0013505476,293220151029000052,"TESTIGO AVERIA MOTOR ACTIVADO Y TRANSMISION AUTOMATICA NO RESPONDE A ACCIONES SI SE PARA EN NEUTRO. EXISTE CONSULTA VIA TESS CON JAVIER AGUILERA ID 248989.27/10 (MM) SIGUIENDO INSTRUCCIONES MIGUEL ANGEL AGUILERA,SEGUN CONVERSACION CON DAVID, INCREMENTADO TARIFARIO DE TIEMPOS INVERTIDO EN DIAGNOSIS, PRUEBAS Y DESMONJE DE PIEZAS DE OTRO VEHICULO.",-----,,2015-09-23,2015-08-19,3,ESP,Spain,0,749.3,0.0,3705.91,1902.61,0.0,0,6357.83,12.8,1,Regular,
2015-11-13,201511,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU508613,9AT,Q5LH,54075,6235,"KIT,AWD SHAFT SEA",062355L9000,"KIT,AWD SHAFT SEA",1,1,105076,0013527037,201220151113000378,\LVERLUST AUTOMATIKGETRIEBE,-----,,2015-10-15,2015-07-14,3939,DEU,Germany,0,153.97,36.74,14.84,7.35,0.0,0,212.91,1.9,1,Regular,
2015-11-14,201511,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504621,9AT,Q5LH,29259,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,TR61033,0013454866,20T220151114000123,"M""@TER$ BEYANINA G#RE ARACIN ALT KISMINDA YA] VAR. YAPILAN INCELEMEDE @ANZIMAN DI@ KAPAK KITININ YA] KA[IRDI]I TESPIT EDILMI@TIR",00401,Distorted,2015-08-14,2015-05-08,403,TUR,Turkey,0,19.89,0.0,28.64,19.46,0.0,0,68.0,0.6,1,Regular,
2015-11-20,201511,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504910,9AT,Q5LH,28977,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,2,106055,0013455958,201220151120000361,"STARKER GETRIEBEOELVERLUST AM SEITLICHEN AUTOMATIKGETRIEBEDECKEL SCHRAUBEN SIND FEST BESCHAEDIEGUNG NICHT ERKENNBAR DECK A+E ERNEUERN. STARKER OELVERLUST. TEILENR.: F]R DAS OEL KANN NICHT EINGEGEBEN WERDEN, DARUM HABEN WIR DEN BETRAG MANUELL EINGEGEBEN. MFG CONTI",09999,For phenomena other than those stipulated.,2015-09-14,2015-05-15,3061,DEU,Germany,0,72.01,0.0,55.02,27.27,0.0,0,154.3,1.2,1,Regular,
2015-12-15,201512,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU508380,9AT,Q5LH,55551,6222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,1,10005,0013418214,26N220151201000195,"FEILS?KT, FUNNET DEFEKT HYDRAULIKK CONTROLL UNIT.  M? SKIFTES. GIRKASSE HAR L?ST SEG, GIKK I FRI, F?R IKKE SATT I GIR. MOTORLAMPE LYSER, STOPPER OG STARTER S? ST?R GIRET I PARK",06601,Poor/no electrical contact,2015-08-13,2015-07-13,167,NOR,Norway,0,2045.49,314.48,1199.25,446.95,0.0,0,4006.19,19.3,1,Regular,
2016-01-02,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU516255,9AT,Q5LH,80212,6222,"KIT,HYDRAULIC CON",062225LH000,"KIT,HYDRAULIC CON",1,2,26130,0013666782,239220160102000148,"IL CLIENTE LAMENTA FUNZIONE P NON FUNZIONANTE   NS TESS 256060 IL PULSANTE P POSTO IN PROSSIMIT? DELLA LEVA DEL CAMBIO AUTOMATICO NON FUNZIONA IN RAGIONE DI CI? SUL DISPLAY APPARE LA SPIA AMBRA DEL FRENO DI PARCHEGGIO E RIMANE ACCESA, INOLTRE LAMPEGGIA LA SPIA CON LA SCRITTA ?D? RELATIVA AL CAMBIO AUTOMATICO.",03214,Erroneous operation,2015-12-10,2015-10-13,105,ITA,Italy,0,276.4,0.0,1205.26,663.38,260.57,0,2405.63,5.5,1,Regular,
2016-01-19,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6850FU511799,9AT,Q5LH,66080,6280,"UNIT ASSY,TRNS CO",062805LHE01,"UNIT ASSY,TRNS CO",1,1,EWG102 0,0013699843,202220160119002644,MIL ON DASH AND DIFFICULTY SELECTING DRIVE. SEE TESS TRACK 258874,-----,,2015-12-16,2015-08-28,711,GBR,United Kingdom,0,138.16,0.0,250.74,52.2,0.0,0,441.1,1.7,1,Regular,
2016-01-19,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU509180,9AT,Q5LH,59910,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,00315,0013630248,247220160102000172,FEL P? V?XELL?DA SE TICKET 254166,-----,,2015-12-02,2015-07-21,1194,SWE,Sweden,0,941.64,0.0,3708.15,1680.15,0.0,0,6329.95,10.0,1,Regular,
2016-01-19,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504757,9AT,Q5LH,29104,6201,"KIT,AT-TRNS",062015LHE12,"KIT,AT-TRNS",1,1,114952,0013722541,201220160106000039,"PROBEFAHRT UND FEHLERSUCHE, S[MTLICHE VERSCHRAUBUNGEN AN DER VA GEPR]FT, KARDANWELLE AUF SPIEL GEPR]FT, TESS ANFRAGE AN HONDA, FREIGABE F]R ERNEUERUNG DES AT GETRIEBES UND WANDLER AM 21.12.2015 ERHALTEN LAUTE KOMISCHE GER[USCHE BEIM FAHREN, SCHALTEN DES AT GETRIEBES",09999,For phenomena other than those stipulated.,2015-12-23,2015-05-13,10197,DEU,Germany,0,530.98,97.93,3657.7,1813.12,0.0,0,6099.74,6.1,1,Regular,
2016-01-22,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6880FU508268,9AT,Q5LH,54067,6224,"KIT,OIL COOLER",062245LH000,"KIT,OIL COOLER",1,3,52,0013736731,21H220160122000204,PODCZAS PRZEGLADU WYKRYTO WYCIEK OLEJU ZE SKRZYNI BIEG?W. KLIENTOWI ZOSTA?O WYDANE AUTO ZASTEPCZE.ZDJ?CIA.,-----,,2016-01-04,2015-07-10,7388,POL,Poland,0,32.29,254.23,106.65,35.34,0.0,0,428.51,1.1,1,Regular,
2016-01-25,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU506823,9AT,Q5LH,46387,6280,"UNIT ASSY,TRNS CO",062805LHE01,"UNIT ASSY,TRNS CO",1,1,102027,0013790794,201220160125000126,"GETRIEBE SCHALTET NICHT, MOTORKONTROLLLEUCHTE BRENNT.",-----,,2016-01-13,2015-06-18,7923,DEU,Germany,0,133.36,0.0,282.96,140.25,0.0,0,556.58,1.9,1,Regular,
2016-01-27,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504365,9AT,Q5LH,27799,6233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,TR01013,0013613670,20T220160127000175,SHSRE6880FU513377 @ASE NOLU ARACA $ST$NADEN @ANZUMAN KISMINDAN YA] KA[A]I VAR,00401,Distorted,2015-11-19,2015-05-01,2695,TUR,Turkey,0,19.97,0.0,28.76,19.55,0.0,0,68.29,0.6,1,Regular,
2016-01-27,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU508624,9AT,Q5LH,57535,6235,"KIT,AWD SHAFT SEA",062355L9000,"KIT,AWD SHAFT SEA",1,5,54,0013770312,21H220160127000243,WYCIEK OLEJU ZE SKRZYNI BIEGOW,-----,,2016-01-11,2015-07-14,11469,POL,Poland,0,67.96,0.0,111.02,36.79,0.0,0,215.77,1.9,1,Regular,
2016-01-28,201601,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU518736,9AT,Q5LH,83272,6224,"KIT,OIL COOLER",062245LH000,"KIT,OIL COOLER",1,5,107493,0013837479,201220160128000520,GETRIEBE\LVERLUST AM \LW[RMER,-----,,2016-01-25,2015-11-10,1344,DEU,Germany,0,70.12,0.0,188.99,93.67,0.0,0,352.79,1.1,1,Regular,
2016-02-09,201602,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6880FU504784,9AT,Q5LH,29238,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,198067,0013742064,21S220160128000237,OLAJFOLY?S,-----,,2015-12-18,2015-05-14,4318,HUN,Hungary,0,200.34,437.88,3746.29,1478.28,0.0,0,5862.81,6.5,1,Regular,
2016-02-09,201602,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU508622,9AT,Q5LH,57539,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,37,107976,0013825817,201220160130000067,"TESS ANFRAGE 262040. LT HR BOOKS, GETRIEBE ERNEUERN BRUMMENDES / SCHLEIFENDES GER[USCH BEI CA 1500- 1800 U/MIN NACH CA 10 MIN FAHRT",-----,,2016-01-14,2015-07-14,7785,DEU,Germany,0,627.72,5.78,3945.06,1955.58,0.0,0,6534.16,7.0,1,Regular,
2016-02-25,201602,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6870FU515973,9AT,Q5LH,80015,6201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,19,20546,0013773766,24N220160204000012,AUTOMAATTIVAIHTEISTON OHJAILAITTEEELLA JATKUVANA VIKAKOODINA: P170A SAKARAKYTKIMEN EP?NORMAALI TOIMINTA. MAAHANTUONNIN OHJE: TARKASTAKAA AUTOMAATTIVAIHTEISTO ?LJYM??R?. -VAIHTEISTO VAIHTAA HITAASTI AJOSUUNTAA VAIHDETTAESSA.  SEK? OHITUSTILANTEESSA SAA ODOTTAA USEITA SEKUNTEJA ETT? AUTO L?HTEE KIIHTYM??N.,03214,Erroneous operation,2015-12-09,2015-10-08,383,FIN,Finland,0,610.74,0.0,3759.82,1344.89,0.0,0,5715.46,8.4,1,Regular,
