HM Claim Recognition Date (yyyy/mm/dd),HM Fiscal Month (yyyy/mm),Model Year,Manufacturing plant code,Manufacturing plant code name,Series Code,Series Name,VIN,Transmission Class(Description),Transmission Type Code,Transmission Serial No.,Failed Part No. (1-5),Reference Parts Name,Replacement Part No. (1-13),Replacement Part Name,Quantity of Replaced Parts,Quantity of Replaced Parts Total,Repair Dealer No.,Local Claim No.,HM Claim No.,Customer Voice,Defect Code,Defect Name,Repair Order Date (yyyy/mm/dd),Production Date (yyyy/mm/dd),Mileage (Mile),Applying Country Code,Applying Country Name,Approved Freight Total Amount (USD),Approved Labor Cost Total Amount (USD),Approved Material Total Amount (USD),Approved Part Total Amount (USD),Approved PLCA Total Amount (USD),Approved Sublet Total Amount (USD),Approved Tax Total Amount (USD),Approved Total Amount (USD),Total FRT,Debit/Credit,Debit/Credit Name,Debit/Credit Reason Description
2015-07-29,201507,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6740FU201263,6MT,ER7Z,1201169,20011,"BARE,TRNS ASSY",20011R7ZX40,"BARE,TRNS ASSY",1,11,25001,0013281812,293220150729000066,"ABIERTA INCIDENCIA EN TESS Y DESPU?S DE VERIFICAR LA BOMBA DE EMBRAGUE ESTA CORRECTA PERO SI DEBER?AMOS CAMBIAR BOMB?N,. NO ENTRAN MARCHAS",05001,Scuffing,2015-04-29,2015-03-06,9,ESP,Spain,0,367.06,0.0,1736.66,891.6,0.0,0,2995.32,6.8,1,Regular,
2015-08-08,201508,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE5770FU300982,6MT,S6TM,3000991,20011,"BARE,TRNS ASSY",20011R6TT00,"BARE,TRNS ASSY",1,8,0939,0013381367,250220150808000008,5DE VERSNELLING KAN NIET GENOMEN WORDEN. ZIE TESS RAPPORT 241035,07801,Part(s) missing,2015-07-10,2015-06-09,2,BEL,Belgium,0,187.54,14.45,1657.05,923.82,0.0,0,2782.86,3.9,1,Regular,
2015-08-17,201508,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6740FU202427,6MT,ER7Z,1202238,20011,"BARE,TRNS ASSY",20011R7ZX40,"BARE,TRNS ASSY",1,1,12003,0013391681,293220150817000019,LAS MARCHAS ENTRAN CON DIFICULTAD. TESS N? 241460,03214,Erroneous operation,2015-07-03,2015-03-25,7,ESP,Spain,0,299.53,26.23,1247.45,640.44,51.93,0,2265.6,5.6,1,Regular,
2015-09-16,201509,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6850FU508978,9AT,Q5LH,0060167,06224,"KIT,OIL COOLER",062245LH000,"KIT,OIL COOLER",1,1,CHE488 0,0013421449,202220150916000206,CUSTOMER REPORTS LEAKS FROM ENGINE - HAS LEFT TWO ROWS OF MARKS DOWN THE DRIVEWAY. TESS 244602. SORRY WE DO NOT HAVE PICTURES OF TH THREAD AS THE JOB IS NOW COMPLETE,-----,,2015-08-17,2015-07-17,445,GBR,United Kingdom,0,104.6,75.89,135.34,28.17,0.0,0,344.02,1.1,1,Regular,
2015-09-21,201509,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504857,9AT,Q5LH,0029764,06201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,BEN139 0,0013458740,202220150921000109,CUSTOMER COMPLAINT LOSS OF DRIVE SPOKE TO HUK REF TESS 247170 AND BEING ADVISED TO REPLACE COMPLEATE TRANSMISSION DUE TO OIL LOSS,-----,,2015-09-09,2015-05-14,1512,GBR,United Kingdom,0,772.68,0.0,3691.41,768.55,0.0,0,5232.66,8.0,1,Regular,
2015-09-24,201509,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU504735,9AT,Q5LH,0029012,20021,"TRNS ASSY,BARE",062015LHE12,"KIT,AT-TRNS",1,1,71,0013428998,21H220150923000166,"SAMOCHOD PRZYHOLOWANY- DZIWNE DZWIEKI ZE SKRZYNI ZASWIECIALA KONTROLKA SILNIKA - WYCIEK OLEJU - KODY BLEDOW P07BE,P0841,B18EA,B1E9A -BRAK MOZLIWOSCI RUSZENIA-KONTAKT TESS 245410",-----,,2015-08-25,2015-05-13,714,POL,Poland,0,231.66,0.0,3858.57,1278.72,0.0,0,5368.97,6.1,1,Regular,
2015-10-14,201510,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU508084,9AT,Q5LH,0054026,06233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,TR26013,0013491404,20T220151014000023,"ARACIN @ANZUMANINDAN YA] KA[A]I VAR ARA[TAN 1 L$TREYE YAKIN YA] [IKTI M""@TER$ $FADES$;  ARA[ KURTARICI $LE GELD$  MOTOR VE @ANZIMAN ARIZA LAMBASI YANIYOR",01102,Deteriorated,2015-10-01,2015-07-09,1063,TUR,Turkey,0,20.97,0.0,30.19,20.53,13.51,0,85.2,0.6,1,Regular,
2015-10-16,201510,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU509222,9AT,Q5LH,0050923,06201,"KIT,AT-TRNS",062015LHE02,"KIT,AT-TRNS",1,1,543073,0013464876,207220151015000069,FUITE D'HUILE AUNIVEAU D'UN COUVERCLE DE PRESSION DE BOITE APR?S AVOIR FAIT UN PARCOURS LE CLIENT EN S'ARR?TANT A P?T VOIR UNE FUITE D'HUILE EN DESSOUS DU V?HICULE,-----,,2015-09-16,2015-07-21,2525,FRA,France,0,520.08,0.0,3821.44,1992.49,0.0,0,6334.01,6.1,1,Regular,
2015-10-20,201510,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6890FU509805,9AT,Q5LH,0062402,06233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,TR06013,0013507964,20T220151020000054,"@ANZUMANDA YA] KA[A]I VAR.13497292 NUMARALI CLA$MDE ONAY ALINDI. M""@TER$ UYARI LAMBASI YANDI]INI VE ARACIN G$TMED$]$N$ STOP ED$P [ALI@TIRDI]INDA D""ZELD$]$N$ $FADE ED$YOR.",07407,Insufficient sealing material,2015-10-12,2015-07-27,959,TUR,Turkey,0,20.86,131.68,30.04,20.42,0.0,0,203.01,0.6,1,Regular,
2015-10-24,201510,2015,U,HUM (Automobile Plant),2013,CR-V,SHSRE6880FU508922,9AT,Q5LH,0059710,06233,"KIT,COVER II",062335J4000,"KIT,COVER II",1,1,02211,0013473748,245220151024000014,LE COUVERCLE EXT?RIEUR GAUCHE DE LA BOITE DE VITESSES FUIT. LES BOULONS SONT SERR? CORRECTEMENT. RIEN N'EST DESSERR?. IL FAUT REMPLAC? LE COUVERCLE AVEC SON JOINT ET VISSES. CLIENT SIGNALE GRANDE FUITE HUILE SOUS V?HICULE,-----,,2015-09-22,2015-07-17,1564,CHE,Switzerland,0,237.64,391.93,25.45,17.7,0.0,0,672.73,1.6,1,Regular,
