x_value,cpu_perc
0,0.0
1,3.8
2,21.6
3,22.1
4,18.2
5,18.3
6,16.4
7,21.5
8,6.6
9,15.2
10,4.3
11,2.3
12,2.5
13,5.0
14,3.3
15,19.2
16,14.0
17,3.0
18,9.1
19,3.3
20,3.3
21,2.8
22,3.0
23,6.7
24,4.8
25,4.5
26,2.5
27,5.0
28,8.0
29,2.5
30,3.8
31,11.6
32,12.8
33,27.9
34,15.8
35,2.0
36,1.8
37,3.7
38,29.0
39,15.7
40,10.8
41,16.7
42,20.5
43,16.3
44,14.3
45,7.8
46,10.1
47,5.3
48,4.8
49,9.3
50,27.5
51,20.1
52,24.9
53,12.3
54,15.8
55,14.8
56,7.6
57,17.6
58,15.0
59,11.6
60,15.8
61,26.1
62,13.3
63,3.3
64,3.7
65,11.7
66,8.2
67,4.0
68,6.2
69,5.2
70,8.8
71,18.7
72,13.7
73,20.3
74,25.7
75,31.3
76,11.3
77,7.1
78,9.1
79,8.7
80,5.8
81,12.8
82,13.7
83,20.1
84,15.6
85,8.8
86,9.0
87,10.8
88,10.2
89,35.6
90,33.5
91,41.2
92,21.1
93,24.3
94,6.0
95,8.1
96,6.6
97,4.8
98,4.8
99,8.8
100,9.1
101,20.5
102,48.9
103,14.8
104,27.6
105,33.9
106,28.9
107,26.6
108,38.0
109,28.1
110,22.2
111,24.3
112,25.2
113,18.6
114,30.5
115,37.7
116,26.1
117,28.6
118,27.8
119,35.4
120,29.6
121,25.9
122,37.2
123,33.3
124,54.6
125,44.8
126,50.4
127,46.8
128,57.6
129,58.0
130,58.2
131,56.9
132,49.5
133,47.9
134,45.6
135,52.3
136,48.6
137,48.3
138,61.8
139,52.7
140,69.9
141,54.4
142,40.3
143,40.4
144,54.0
145,40.8
146,45.8
147,42.8
148,35.3
149,13.6
150,13.9
151,10.9
152,15.6
153,13.6
154,12.0
155,12.9
156,14.0
157,10.8
158,18.4
159,21.7
160,17.3
161,23.7
162,29.3
163,39.2
164,23.5
165,20.9
166,25.6
167,32.4
168,24.7
169,44.9
170,37.3
171,19.7
172,16.2
173,16.8
174,15.6
175,11.5
176,11.1
177,10.9
178,28.7
179,49.4
180,38.1
181,32.7
182,46.2
183,46.2
184,28.6
185,19.8
186,19.9
187,16.8
188,17.3
189,29.9
190,43.7
191,30.0
192,36.8
193,36.8
194,28.1
195,38.3
196,32.9
197,29.0
198,34.7
199,31.4
200,52.7
201,38.2
202,45.6
203,32.2
204,11.6
205,15.1
206,9.6
207,12.5
208,19.5
209,44.9
210,25.3
211,33.4
212,35.1
213,31.2
214,22.8
215,27.3
216,29.9
217,21.0
218,32.8
219,39.8
220,38.4
221,15.7
222,15.9
223,11.3
224,19.6
225,20.6
226,11.6
227,13.0
228,15.0
229,27.6
230,21.4
231,12.1
232,13.5
233,17.2
234,22.1
235,15.5
236,15.2
237,16.0
238,24.6
239,21.1
240,19.8
241,16.8
242,24.4
243,19.0
244,12.8
245,13.3
246,14.4
247,11.2
248,16.6
249,23.3
250,22.2
251,17.2
252,20.5
253,33.2
254,24.1
255,9.8
256,10.2
257,10.3
258,11.6
259,18.5
260,8.7
261,8.9
262,9.8
263,9.3
264,10.9
265,17.3
266,15.5
267,13.6
268,8.9
269,9.4
270,21.7
271,17.4
272,30.3
273,15.8
274,10.1
275,8.7
276,12.7
277,11.4
278,9.3
279,8.4
280,8.7
281,12.1
282,23.2
283,29.0
284,23.0
285,36.1
286,34.6
287,26.4
288,24.1
289,23.9
290,16.5
291,20.6
292,30.2
293,18.0
294,23.6
295,20.2
296,25.9
297,23.4
298,14.7
299,34.0
300,11.1
301,22.6
302,31.4
303,41.5
304,26.3
305,21.0
306,27.8
307,24.6
308,16.3
309,31.3
310,29.9
311,34.1
312,51.2
313,49.3
314,24.5
315,16.9
316,15.4
317,15.8
318,19.2
319,29.2
320,35.8
321,32.6
322,17.5
323,18.3
324,19.3
325,26.5
326,31.9
327,42.7
328,28.8
329,15.2
330,19.8
331,15.1
332,11.4
333,12.8
334,17.9
335,17.7
336,13.0
337,15.4
338,11.7
339,13.9
340,11.9
341,11.7
342,19.1
343,34.4
344,24.3
345,10.9
346,12.2
347,32.2
348,19.8
349,21.9
350,26.8
351,15.8
352,14.5
353,12.5
354,17.9
355,21.4
356,20.6
357,13.1
358,21.5
359,19.1
360,20.0
361,25.8
362,17.6
363,15.1
364,16.0
365,25.9
366,14.5
367,25.3
368,26.6
369,37.4
370,28.0
371,17.6
372,13.7
373,24.1
374,30.6
375,47.4
376,28.4
377,26.4
378,37.1
379,35.7
380,20.2
381,12.8
382,11.0
383,11.5
384,9.8
385,10.3
386,10.2
387,8.9
388,10.4
389,14.5
390,16.0
391,11.2
392,9.2
393,15.2
394,16.3
395,13.2
396,11.4
397,10.6
398,9.1
399,12.2
400,12.1
401,10.0
402,9.2
403,10.3
404,18.9
405,34.8
406,24.9
407,15.7
408,11.0
409,10.1
410,19.7
411,12.4
412,21.1
413,16.6
414,13.0
415,18.2
416,8.4
417,9.1
418,8.9
419,10.3
420,9.2
421,13.1
422,10.1
423,9.4
424,10.3
425,9.4
426,10.5
427,10.3
428,31.2
429,20.6
430,27.1
431,23.2
432,42.0
433,43.8
434,22.3
435,14.2
436,13.5
437,13.0
438,27.8
439,15.9
440,20.9
441,15.3
442,22.4
443,20.4
444,29.2
445,37.2
446,44.5
447,46.3
448,23.8
449,20.4
450,16.2
451,12.8
452,18.6
453,12.2
454,21.0
455,24.9
