CLM_SK,DLR_NO,CLM_NO,RO_YR,SHRT_PART_NO,BLO,LAB_OPRTN_CD,ORIG_CUST_CNTN_TXT,TARGET
98393810,251100,531142,2017,01473,411,411261,DURING LAST SERVICE INSPECTION TECH FOUND LEFT REAR CALIPER PISTON SEALS IS CRACKING. PLEASE INSPECT AND REPORT.,0
100860844,251289,481652,2017,04712,810,810096,"CLIENT STATES THERE IS DAMAGE UNDER FRONT BUMPER, NOTICEDAFTER DELIVERY, BEYOND 48 HOURS. GOODWILL REPAIR PER REP",0
99687650,251289,448165,2017,04712,923,923096,"CLIENT STATES THERE IS DAMAGE UNDER FRONT BUMPER, NOTICEDAFTER DELIVERY, BEYOND 48 HOURS.",1
99288938,251003,256286,2017,04715,811,811099,CUSTOMER STATES REAR RIGHT BUMPER IS OUT OF ALLIGNMENT.,1
100589939,251046,110289,2017,04715,849,849096,PER DPSM SUBLET LR QUARTER TO BODY SHOP,1
99558033,251123,203657,2017,04814,864,864175,"CLIENT STATES RATTLE FROM PASSENGER B-PILLAR AREA OR LOWERAT DOOR. TECH INSPECTED AND VERIFIED RATTLE FROM RIGHT SE ATBELT. PER TECHLINE REMOVED RETRACTOR, REPLACED AND VERIFIED NOISE GONE.",0
94782866,251184,077221,2016,04816,854,854099,AUTH 119B - GENERAL MANAGER STATES PASSENGER SEAT BELT BUCKLE IS BACKWARDS,0
94241512,251015,157741,2016,15400,513,513096,GOODWILL CAR RAMPS FOR CLIENT PER ACURA,0
101033057,251059,989681,2017,15400,851,851096,LA PREP LOWER SEAT COVERS PER BEN ARIAS,0
101787666,251547,920311,2017,15400,710,710099,AUTH`D BY DPSM AND TECH LINE REF #TLC4000852. LABOR TO REMOVE AND INSTALL BATTERY. BATTERY TAKEN BY ACURA OF PEABODYFOR CUSTOMER DUE TO AVAILABILITY. ACURA OF PEABODY BROUGH T BACK NEW BATTERY ONCE REC`D. TECH INSTALLED AND VERIFIEDOPERATION OF NSX.,1
100977564,251461,978091,2017,15420,110,110099,PLEASE PERFORM FULL NSX INSPECTION,1
96289083,251438,046070,2016,15610,111,111099,"OBSERVED AT PDI/TQI; OIL RESIDUE ON LOWER ENGINE SPLASH SHEILD-ADVISE///SPOKE WITH TECHLINE (3915558), REMOVED & CLEANED LOWER SPLASH SHIELD, REMOVED & CLEANED SUPPORT BRACES, RECHECKED OK",0
100745428,251095,469886,2017,17011,323,323503,CUSTOMER STATES THE CHECK ENGINE LIGHT AND PARKING BRAKE LIGHTS ARE ON,1
95440793,251476,970665,2016,17013,310,310099,CUST STATES THE FUEL TANK DOES NOT GO ABOVE 3/4,0
101573464,251559,544409,2017,17045,310,3101D2,"C/S: WHILE DRIVING ALL WARNING LIGHTS CAME ON AND VEHICLE SHUT OFF. COMPLETED EXTENSIVE DIAGNOSTICS. MULTIPLE DTCS, FUEL PRESSURE DROP, REMOVED ENGINE COMPONENTS, IDLE RELEARN & CKP UPDATES - TECH LINE ASSIST.",0
94298137,251004,620911,2016,17047,310,310099,032-20 / G/S THE FUEL LEVEL READING IS INACCURATE / FUEL GAUGE STUCK ON 3/4 TECH LINE #3900802,0
97584211,251057,436831,2017,17121,110,110099,LEFT SIDE ENGINE COVER IS NOT POSITIONED PROPERLY- FOUND DURING PDI INSPECTION,0
95096232,251054,533652,2016,17328,121,121099,GUEST STATES THAT THE CHECK ENGINE LIGHT CAME ON WHILE DRIVING. PLEASE CHECK AND ADVISE.,0
92911526,251172,522120,2016,18900,110,110099,C/S NOISE COMING FROM ENGINE AREA TEST DROVE & CONTACTED TECH LINE #3885160 CHECK SHIFTING NORMAL AT THIS TIME,0
93379718,251172,523231,2016,18900,110,110099,C/S WHISTLING NOISE FROM ENGINE AROUND 3000 RPMS CONTACTEDTECH LINE #3885160 CK TRANS NORMAL SHIFTING AT THIS TIME,0
97972356,251546,163116,2017,19301,114,114150,CLIENT STATES: CHECK ENGINE LIGHT IS ON. PLEASE SCAN SYSTEM TO RETRIEVE CODES AND TEST COMPONENTS FOR FAILURE.,1
98167916,251497,547131,2017,19301,114,1141B4,C/S THE CK EMISSIONS WARNING AND ELECTRONIC BRAKE WARNINGSARE ON TECH LINE 3953889 / RET CODES REPLACED THERMOSTAT  AND BLED SYST CLEARED CODES,0
99854703,251336,332341,2017,19301,114,1141B4,CUSTOMER STATES ELECTRONIC PARKING BRAKE MESSAGE AND EMMISION MESS AGE REPORTED ON ADVISE,1
100861234,251078,572157,2017,19301,114,1141B4,C/S CHECK EMISSIONS LIGHT IS ON - PLEASE ADVISE,0
101058768,251095,473176,2017,19301,114,1141B4,CUSTOMER STATES THE CHECK EMISSIONS LIGHT IS ON BRAKE WARNING MESAAGE IS ON,0
101793565,251586,726061,2017,19301,114,1141B4,CUSTOMER STATES CHECK ENGINE; EMISSIONS SYSTEM; AND ELECTRONIC PARKING BRAKE LIGHT IS ON; CHECK AND ADVISE  TECHLINEREF#3995305,1
101924167,251140,519351,2017,19301,114,1141B4,CHECK ENGINE LIGHT IS ON - CAME ON YESTERDAY 06.30.2017 WHEN HE TURNED THE VEHICLE ON - HAS BEEN ON THE WHOLE TIME AND ALONG WITH IT THE ELECTRIC PARKING BRAKE LERROR MESSAGECAME ON AS WELL TECH;LINE# 3995650,1
101252098,251563,687282,2017,19301,114,1141B4,WHILE DRIVING CHECK EMISSION SYSTEM  AND ELECTRONIC PARKING SYSTEM MALFUNCTION LIGHTS CAME ON  AND VEHICLE WOULDNT MOVE,0
101250083,251525,105279,2017,19301,114,114150,"CK ENGINE LIGHT STAYS ON, RETRIEVED & CLEARED PCM CODE & DIAGNOSED & REPLACED FAILED THERMOSTAT. TECHLINE 3992323",0
101252590,251012,983887,2017,19301,114,1141B4,PARKING BRAKE AND EMISSIONS LIGHT COMING ON; ADVISE. FOUNDTHE COOLING SYSTEM MALUFNCTION. REPLACED THERMOSTAT PER D TCS,0
97555947,251540,103365,2017,19301,114,1141B4,CK ENGINE LAMP IS ON; DIAGNOSE AND ADVISE,0
100488808,251562,958481,2017,19301,114,1141B4,CLIENT STATES THE CHECK ENGINE LAMP IS ON.,0
100683967,251049,107593,2017,19301,323,323505,CUSTOMER STATES CHECK EMISSIONS LIGHT STAYS ON,0
100686284,251049,917593,2017,19301,114,1141B4,CLIENT STATES THE CHECK EMISSIONS LIGHT IS ON,0
101299513,251105,327971,2017,19301,114,1141B4,CHECK EMISSION AND WARNING LIGHTS ARE ON PLEASE REPAIR. INNER GASKET IS PINCHED. REPLACED THERMOSTAT AND BLEED COOLING SYSTEM.,0
101333047,251573,879271,2017,19301,114,1141B4,CUSTOMER STATES CHECK ENGINE LIGHT ON,0
101353692,251015,286561,2017,19301,114,114150,CHECK ENGINE LIGHT AND ELECTRIC BRAKE SYSTEM LIGHT IS FLASHING. THERMOSTAT GASKET OUT OF PLACE. REPL THE THERMOSTAT,0
101640857,251507,812661,2017,19301,114,1141B4,CUSTOMER STATES WHEN STARTING UP VEHICLE   TWO MALFUNCTIONS SHOW UP  CHECK EMISSIONS SYSTEM AND ELECTRIC PARKING BRAKE MALFUNCTION - TECH REF# 3995584,1
94498445,251046,103348,2016,1A865,710,710099,ALL WARNING LIGHTS CAME ON AT START UP,0
95608959,251367,718022,2016,1D070,118,118199,INSTALL HYBRID BATTERY PACK PER HONDA REQUEST,0
98168513,251461,795491,2017,20041,218,218099,CHECK TRANS FLUID AS PER JASON FROM TECHLINE,0
99772511,251481,003271,2017,20041,218,218102,CLIENT STATES ERROR MESSAGE ON CENTER DISPLAY .. STOP DRIVING WHEN SAFE TRANSMISSION TEMPERATURE TOO HOT.. ADVISE.,0
101119608,251015,279751,2017,20041,220,220199,VEHICLE IS BEING TOWED IN. TRANSMISSION CODE CAME ON AND VEHICLE WON`T MOVE. TRANS FAILURE. REPL TRANSMISSION,1
100646715,251046,110773,2017,20041,218,218096,GW TOWING TO BARBER MOTOR PARK FOR INDY RACE,1
95855039,251559,536153,2016,20041,218,218099,DOMINIC FROM ACURA REQUESTED TO HAVE TRANSMISSION FLUID CHECKED; SEVERAL UNITS WERE FOUND TO BE OVERFILLED; CHECK AND CONTACT TECHLINE 3922761,0
98812046,900021,075806,2017,21210,218,218098,UNKNOWN,1
96400220,251419,020612,2016,22880,218,2181Z3,P0860 CODE          ,0
100260284,251573,847391,2017,22880,218,2181Z3,CUSTOMER STATES THAT THE VEHICLE SHUT OFF WHILE DRIVING -ALL WARNING LIGHTS WERE LIT - VEHICLE WOULD NOT TURN ON VEHICLE WOULD NOT TURN OVER TO DYNAMIC MODE - WOULD NOT OPERATE IN EV MODE - BATTERY CHARGE DROPPED TO 0 VEHICLE WAS TURNING ON AND OFF -,0
101544894,900021,081489,2017,29300,613,613098,UNKNOWN,1
95522813,251132,235402,2016,31500,710,710100,COURTESY BATTERY TEST RECOMMENDS REPLACEMENT. VERIFY CHARGING SYSTEM OPERATION AND REPLACE BATTERY IF NECCESARY.,1
96094589,251543,961411,2016,31500,710,710100,"CUSTOMER STATES CAR WONT START, CHECK AND ADVISE VEHICLE PICKED UP BY SHOP FOREMAN AND DRIVEN TO DEALER",1
96361802,251121,341642,2016,31500,710,710099,CUSTOMER STATES THAT THE BATTERY KEEPS GOING DEAD. ACURA ENGINEERING BROUGHT OUT BATTERY TO EXCHANGE. TOOK BAD BATTERY WITH THEM.,0
99018391,251406,189649,2017,31500,710,710100,BATTERY WILL NOT HOLD A CHARGE- FAILED TEST,1
99965269,251075,778031,2017,31500,710,710100,TECHNICIAN FOUND BATTERY TO BE BAD DURING ROUTINE MAINTENANCE CHECK,1
100104880,251222,223951,2017,31500,710,710100,TECH WAS INSTRUCTED TO TEST BATTERY DUE TO NO START. REPLACED BATTERY,1
101201405,251482,910400,2017,31500,710,710100,BATTERY FAILED TESTER - BAD CELL IN BATTERY,1
101825233,251009,199955,2017,31500,710,710100,"DURING ROUTINE INVENTORY BATTERY MAINTENANCE TEST, TEST RESULT AS BAD BATTERY DUE TO BAD CELL- REPLACE. TEST CODE 10T3Q-TH038.",0
101857896,251525,106147,2017,31500,710,710100,"BATTERY HAS TO BE JUMP STARTED, BATTERY FAILED ED18 TEST, REPLACED BATTERY",1
96625228,900021,068699,2017,31500,710,710098,UNKNOWN,0
95779786,251456,219664,2016,31500,710,710100,C/S VEHICLE WILL NOT START,0
99289107,251041,295031,2017,31500,710,710100,BATTERY WENT DEAD WHILE THE CAR SITTING ON THE SHOW ROOM FLOOR,1
99559929,251013,680529,2017,31500,710,710100,NO START,1
99759490,251306,221425,2017,31500,710,710100,"CUSTOMER STATES ENGINE WILL NOT CRANK, DOE NOT HAVE ANY ELECTRICAL POWER. HAVE TO CHARGE 12 VOLT BATTERY TO START ENGINE.BATTERY FAILED LOAD TEST,,REPLACED BATTERY AND RETEST",0
100288044,251022,419571,2017,31500,710,710096,CLIENT DESCRIBED CONCERN BATTERY GOES DEAD AFTER SITTING 8DAYS,1
