Part5,Labor_Cost_USD,Part_Cost_USD,Days_To_Fail_MinZero,Miles_To_Fail,Customer_Complaint,PROBLEM,Target
81690,97.33,252.88,483,13949,CK FOR THE DRIVERS SIDE 2ND ROW SEAT WILL NOT CLICKING INTO PLACE.,Unconfirmed,0
57455,436.82,192.64,1265,46722,CONTINUATION OF FIRST LINE. ADDED FOR TECHNICIAN TO DIAGNOSE ISSUE OF FRONT END DRIVELINE NOISE,Unconfirmed,0
57306,535.5,1293.16,274,17819,C/S BRAKE SYSTEM WARNING LIGHT & OTHER WARNING LIGHTS CAMEON THE DASHBOARD & BRAKES STOPPED WORKING/WAS TOWED IN-TE CH LINE REF#3984535,Unconfirmed,0
57111,1261.5,610.51,5,205,CLIENTS STATES THERE IS A WARNING LIGHT ON AND A MESSAGE IN NAVI ABOUT BRAKE BOOSTER CODE-INSPECT AND ADVISE.,Unconfirmed,0
57111,1009.87,463.58,467,30655,VERIFIER PEDALE DE FREIN . DESCEND AU FOND ET PAR LA SUITE O K. 4170 ET STRAIGHT TIME --- MULTIPLE TEST DEMAND� PAR TECHLINE A 2 REPRISE DIFFICULT� A REJOINDRE CLIENT. SENSATION D AIR DANS LE SYST�ME SYST�ME SAIGN� ET LE PROBL�ME PERSISTE ESSAIE ROUTIER V,Unconfirmed,0
57111,381.5,666.81,229,8251,"CUSTOMER STATES BRAKE PANEL WENT TO THE FLOOR STATES THE CUSTOMER.THE HONDA REP ( DSM ) TEST DROVE THE VIHICLE AND DID NOT FIND ANY FAILURE WITH THE BRAKES AT THIS TIME. INSTALL BRAKES BOOSTER, BRAKE MASTER CYLINDER AND MODULATOR AND BRAKE FLUID FLUS",Unconfirmed,0
57110,368,2106.47,856,18548,"TECH REF4021209  REVERSING OUT OF DRIVE WAY  COULD NOT BRAKE,ATEMPT TO BLEED SEVERAL TIMES  FLUID  AND  REPLACE VSA MODULE AND BLED SYSTEM SEVERAL TIMES",Unconfirmed,0
57110,348,786.05,563,10060,CUSTOMER NOTES A THUMP NOISE WHEN THE BRAKE PEDAL IS RELEASED AFTER WAITING AT A LIGHT; IT SOUNDS LIKE THE NOISE ISCOMING FROM BEHIND THE BRAKE PEDAL,Unconfirmed,0
57110,254.8,638.92,26,1252,CHECK BRAKE PEDLA OPEATION - BRAKE PEDAL SANK TO FLOOR WHEN APPLIED WHEN PARKING IN A GARAGE LAST NIGHT-ADVISE,Unconfirmed,0
57110,572,1917.99,0,76,DURNING PDI INSPECTION TECH FOUND THE VSA/ABS LIGHT IS STAYING ON ...RETRIEVED CODES 86-18 AND U129 CONTACTED TECH LINE CASE 3492073 PERFORMED TEST PER INSTRUCTIONS AND REPLACED MOD ASSY AND SERVO PER TECHLINE,Unconfirmed,0
