ID,Review
1,Excellent service my claim was dealt with very swiftly without any hassle.
2,Very sympathetically dealt within all aspects of a very distressing happening. No arguing or haggling relating to the theft of various items.
3,"Having received yet another ludicrous quote from our previous insurer of over 25 years loyalty I looked at  having had the superb experience of their assistance via travel insurance while abroad. I was amazed and delighted by the quality of the offered products - both buildings and contents cover.
The range of cover is excellent and it can be tailored to be upgraded if needed.This is not expensive! I bought cover immediately. I feel really happy with my cover and feel secure with this company.
I cannot recommend them highly enough.
Thank you  for looking after your customers so well and professionally."
4,Very prompt and fair handling of claim. A minor problem concerning late carpet delivery was quickly resolved
5,Very good and excellent value for money simple to use web site.
6,Have a perennial problem with home cover for my sisters house - bought by me from her as a private equity release some 16 years ago. Normal insurance for \my\ home not occupied by me has been difficult restrictive expensive or impossible.  took on board the problem quickly simply and inexpensively. This confirmed an excellent example when my stolen car keys were sorted (without charge) by my  car insurance. So though no experience of any of house claims yet (hopefully never) I feel very happy and comfortable with my purchase. Thank you . No connection other than as a satisfied customer.
7,I feel that my claim was delayed by the involvement and action (lack of) by Asprea
8,Every aspect of the claim was settled politely and efficiently. What you hope for with insurance claims but seldom seem to get
9,Thank you that my claim has been sorted out but was a little shocked that I had a �200 excess on my claim which I should have checked clearly before taking out the policy. (so beware). The staff I spoke to were very friendly and dealt with my questions as efficiently as they could so talking to staff was a very positive experience. I had the ring listed as extra items but dont know what it would have been like if I hadnt. Hope you find this review helpful.
10,"Telephone claim. Helpful staff. Simple process. No paperwork. Money in bank within a matter of days.
Couldnt fault the system."
11,I can only say that  have given me quality of assurance and help when reqired. I have tried other insurers but come back to  as they reward loyalty rather than at the expense of new customers. Obviously if this were to change Id be out ther looking for fresh deals but since I have been with them I cannot find better coverage.
12,Great customer service and a brilliant price. I would say to anyone to try  first.
13,We were looking for an insurance company that would be easy to contact. Rang  and spoke to a lady who was both very efficient and helpful. The price was good and so we decided to give  a go. Easy website to understand. So far so good!
14,Dealt with my claim efficiently when I eventually managed to obtain quotes!
15,On New years day my Son was using his computer and shouted Mum I got wet feet. Upon investicating we found water had come in the window in the bedroom and soaked through the ceiling down the walls and made the new carpet wet.Luckily I had another bedroom I could move into once the junk was moved.I phoned the helpline and was told to go ahead with the repair and someone would install dehumidifiers to dry everything out. I was phoned or emailed to ask if I needed anything and they were there if I need them. After everything was put right the invoice was sent off and within 2 days the advisor was on the phone to discuss my claim. They offered a fair settlement and this was paid within the week. The advisor took a lot of the stress out of the situation.
16,"When I first telephoned to find out if I was covered for the accidental damage to my wifes glasses the  claims person at the other end of the line did not know and kept me waiting on the phone for a while before they came back to confirm that I was. This followed what I consider as more of an interrogation rather than being helpful questioning from  almost to the point where I was beginning to feel guilty for claiming!!
Eventually I was told to go away and obtain an estimate and email it back to  for it to be considered which puzzled me as I thought that I was covered anyway?
I emailed the estimate after a few days to the claims person as requested and within a few days I was sent a cheque less my excess which was good however it was so impersonal there was no acknowledgement to my email and the estimate no further contact was made with me either via telephone or email from the claims dept ...so much for the personal touch  advertises."
17,On Friday 9 August 2013 we had a kitchen fire at 1800. I rang the claims line before 1900 and found them most helpful.  arranged for an electrician to call the following morining to make wiring safe and a gas fitter also called over the weekend. On Monday Johnsons called to see about cleaning and a Loss Adjuster from Cuinningham Lindsey came on Tuiesday. We were then away for 2 weeks and on return recovery swung into place. Carpets curtains and soft covers were cleaned and all kitchen contents cleaned or condemned. We submitted two estimates to replace the entire kitchen and speedy approval was given. A couple of claims were settled quickly and the new kitchen was installed late November. We then submitted our final claim on 20 December but had no response from the Loss Adjusters despite 3 reminders until 5th March 2014 when they apologised for the delay and advised that the claim was approved. I received the cheque from  on 11 March. Apart from that delay all was v good.
18,"I had a leak from my bath that damaged the ceiling below. I claimed the loss adjuster visited and quickly agreed a value using my chosen builders quotes and gave me a cheque to do the work. Very simple quick stress free and easy. Also as we have artex on all of our ceilings he took samples as artex can include asbestos and had them checked and luckily we are asbestos free. We did not know but if our artex had asbestos we would have had to replace every ceiling as just happened for a friend of mine who is currently living in a hotel while all of his ceilings are removed due to artex with asbestos in it.
Great service as I now expect from  who are a quality insurer when you need to claim."
19,After the recent storms we suffered damage to our roof.  dealt with our claim with fairness and speed. So glad we our with a proper insurance company.
20,after the radiator upstairs burst and caused the ceiling in the room below to fall down  were wonderful because the ceiling was artexed they had to test for traces of asbestos.  took charge of everything the ceiling was tested and found to be positive. The ceiling was immediately sealed until the specialists could come and take down the ceiling and replace it and all the wallpaper. As this happened at Christmas I had to wait until it was convenient for all parties involved to be available.  kept me informed each step of the way phoning regularly also the assessor and other parties who were involved phoned to tell me the time they would be coming and what day everyone was polite and helpful and cleared up all mess (and when the ceiling came down there was an awful lot of mess). The room looked wonderful when it was finished and you could not tell anything had happened. Thank you  I will certainly recommend you to others.
21,I lost an expensive piece of jewellery whilst on holiday and contacted  on my return. The adviser was patient and supportive and guided me though the claims process which was hassle free with a swift resolution. I cannot speak too highly of the service received and I would not hesitate to recommend  to others.
22,reminder came by post quotation on line which was easy to alter to my requirements
23,"When I contacted  to report that we had a water leakthey acted very quickly got the engineer to stop the leak.
But when it came to deal with the repair of the ceiling it took over 6 weeks to settle the claim.
They sent out a surveyor and he told me that they can to the repairs cheaper but would only repair the damaged part of the ceiling and as we have a through lounge the ceiling would look very odd one part covered with ceiling tiles and the other side not. So was not very impressed and when after two weeks I hadnt heard anything from them I contacted them and was told that as the surveyor had been out he would be dealing with all the clame and to contact him that was not what I was accepting when I then told them he had not even given me any contact details all he was concerned about was that I did not have a matching item policy and said that all he was going to do. As far as I am concerned the ceiling is part of the building not a item like furniture."
24,I found the staff were really helpful everything was explained clearly and prices were fantastic also policy comes with other benefits highly recommend to any 1 wish I had of tried these before I had been with my other insurer for a couple of year never mind
25,very happy with the price for the value of money i get
26,Our roof and chimney were damaged in the Christmas New Year storms. A viva have been excellent in many ways but due to so many people being affected it was very difficult talking to the person overseeing the claim. Emailing was the only way to have contact with this person. With perseverance on our behalf it was sorted and paid out taking approx 10 weeks in total.
27,From getting a qote on line and setting up the policy was a positive experience. Great customer service in setting up. Everthing they said they would do they did. Also very reasonable price giving me a saving. Highly reccomended
28,"Considering the problems of flooding at this time  my claim was dealt with quite quickly .
Any request that I had re company to be used for my repairs were agreed ."
29,Why oh why do you make us use premium telephone numbers when we have to contact you ?
30, seemed to be one of the only major companies which made it easy to buy contents only insurance - they offered a cost effective option that was easy to purchase online
31,I was looking for a competitive quote as my previous insurer had ratcheted up the rate again this year. Having recently insured my cars with  I was offered a discount to switch my home insurance. I wasnt sure it would be competitive as we live close to a flood zone however they significantly beat the renewal quote with as much or more cover. Very pleased.
32,straight forward questions that can easily be understood  and the telephone staff are extremely helpful and experienced if you need any help with the application form.
33,My previous insurance had gone up year upon year and my neighbours suggested changing companies. Having been with  for my car insurance for years I contacted them. From the moment I was connected to an extremely personable and knowledgeable advisor to the final agreement on a policy was a pleasure. I am extremely pleased with both the price and the service and I would unhesitatingly recommend .
34,This was by far the easiest claim I have ever made. From first phone call to settlement at end of claim took only 2 weeks.
35,REALLY EASY DID ALMOST ALL OVER PHONE AND VERY UNDERSTANDING PEOPLE ON PHONE
36,Never had a fire or claimed insurance payment in over 50 years before this claim. I was pleasantly surprised that everything was replaced like for like and very efficiently. I could have claimed for replacement of some items which were really not necessary to be replaced but like to be fair.
37,On a Like for Like basis the  product was more competitively priced than my renewal quotation.
38,Entirely unimpressed with the  claim process that is clearly not fit for purpose.
39,Very quick and easy to set up. I had to tel to set up and service was excellent. Made a large saving but the ease of dealing with a UK call centre was the real bonus particularly as they didnt try to hard sell lots of other insurances.
40,Had a flooded kitchen and contacted the claim centre. The claim was processed promptly and surveyors and contractors sorted the claim from start to finish (finish being when we were satisfied all works were completed). Works came with a guarantee. The claims team kept in contact to ensure everything was done. No stress. Done in a very timely fashion. Very happy. Well done.
41,The quote from my previous insurer had rocketed and  was the first option I looked at. It all looked so good and simple I just went for it.
42,"1st time insured with a viva.
Good thing noticed Thad like car insurance you can Protect no claim bonus"
43,Great deal would have a look well worth it you will be happy you did I was.
44,"There is no doubt that  has revolutionised the way in which we now buy our insurance!
No longer is it the challenging experience that we all dreaded facing.
 has made purchasing insurance so simple in a language that is easily understood presented in a really friendly and courteous manner. I have just purchased my Home Contents Insurance policy from  with considerable financial savings and increased benefits So I am very pleased!
As I had already transferred my Financial Investment Plans to  last year on the advice of my Financial Adviser I was already well impressed by s performance and service. I already have my car insurance lined up for  on renewal. And by moving my insurances under one roof I can now get all the benefits of My with all my policies readily available on line!
VIVA !"
45,I went online to get a quote from various companies and as I had my car insurance with  I tried them. the quote was very favourable but there were a couple of questions I neededto resolve. The main one was the quote was far better priced than any other so I rang the Freephone no. the next morning. The agent not only resolved my queries but went through the complete form explaining what each section did for me. Excellent service.
46,Fast and easy access to the web site and I have secured that deal that I wanted that is right for me I just hope that I get the same next year when it is time to renew my policy.
47,My claim was dealt with quickly and efficiently. An assessor came within a few days and the voucher came through shortly after that. Everyone I dealt with was polite and helpful.
48,E-mail and telephone response to my claim was polite professional and efficient. First class service.
49,when i called  it was the best call id made for insurance EVER... i couldnt have been happier when i had finished my phone call. i was so impressed with the adviser and his professional experience in the insurance i wanted.to tell the whole world how wonderful i felt. .a big thank you to ..
50,"Initial response was decisive and informative. The external agencies survey drying out decorating handled efficiently. Coordination between building and contents
area of responsibilities was poorly explained and therefore caused confusion when trying to address issues. By and large happy with the overall outcome."
51,Bikes replaced with no fuss. Excellent prompt service.
52,We were entirely satisfied with the way  dealt with our recent claim. We are senior citizens and were making our first claim after a break in .  gave us every assistance and made the whole process much easier for us to deal with. We would certainly recommend them to others.
53,Efficient and courteous staff providing excellent services. Would recommend  to friends without hesitation.
54,"I requested quotes on line and after several changes
in cover made by myself I eventually accepted the one
that I was happy with. The application was very straightforward and  delivered my documents by
e mail which I was able to access and print at my
discretion. They make everything so easy and I would have no hesitation in recommending them to anyone who is
taking out insurance for the first time or like myself switching
insurance providers."
55,Excellent value same cover but half the price of my current insurance company. Very helfull customer service explains exactly what you are purchasing and cover needed.
56,Very courteous and efficient customer servicevery competitive pric and I also have car insurance with the company.
57,In general extremely helpful. A few times I had to call to check what was happening but someone did get back to me. The experience wasnt stressful at all.
58,"straightforward options throughout setting up procedure
clear instructions and very competitive rate"
59,The home insurance was purchased over the phone as I had to add a specific item to my policy. My query was dealt with quickly efficiently and in a friendly manner. I have no complaints.
60,"After browsing with an insurance comparison website I found  which surprised me as it was the first well-known company that appeared on these websites. After asking for a quote on �s website this turned out to be even lower than the original one I was given. I needed a very basic insurance for my tenancy and I have to say I�m glad to be paying as little as I am compared to other well-known insurance companies and I was also glad to see that I might get a discount next year if I have no claims and another one for signing up online.
In the end  made it quite simple to sign up for something that I thought would require lots of time."
61,I was already with  for my car insurance but with just 1 phone call I managed to save a lot of money on our yearly bills by swapping my husbands car insurance and our buildings and contents insurance. The process was so easy and the person I spoke to was really friendly and made the process painless
62,Easy to talk with and listened to my queries. Explained in detail everything covered for my individual needs.
63,Very happy and satisfied with their online quote although it was not the cheapest but giving the reviews from other customers i chose . Not been with  before therefore i have no experience in dealing with them so far in terms of making a claim etc. Overall very happy with their services.
64,All done in an efficient manner. Web site was easy to follow and follow us call from a representative was helpful but not intrusive. Only negative is that I kept getting emails regarding the taking up of a quote after I had purchased the policy.
65,From first phone call to completion of damage was swift and secure. No hassle whatever. Thank you.
66,The promised incentive has not arrived. Feel like this is another insurance promise not fulfilled. What vouchers?
67,"Well explained in laymans terms.
More important my policy was well priced in relation to other quotes from other insurance companies.
I opted for the online option which was also very straightforward so would recommend  home insurance after my experience."
68,No problems with on line purchase. Product was well described and met my requirements in most ways. Much less expensive than using other methods of purchase.
69,I would like to thank all at  for the speed my claim was met with. The team showed agreat understaning of my problems and dealt with all maters in a very timely fashion. I will be pleased to reccomend  in the future.
70,Service was excel ant inisial phone call was fast and Ifishant and dealt with quikly .The accesare was very fair and delt with this matter in a very ifishant and the money was received in to our account with in the 7day period and I could not recommend the service enough
71,Time taken was appalling..  were trying to penny pinch at every stage which I guess actually cost them a lot more due to many un necessary repeat visits from workmen. Standard of work done was good and workmen very polite. Disappointing lack of any communication from Asprea. Not like the adverts. First claim I have ever made and I am extremely disappointed
72,Super fast & smooth claim processhighly recommended.
73,After years of re-negotiating with my previous supplier they would always drop the price to close to better quotes  gave a great saving with better cover. The ********* came close and admitted they could because my new quote they sent had a large profit ~ I left and gave the business to .
74,The quote I got from  was far cheaper than my original home insurance with a more extensive cover as well. It was simple to set up and hassle free definitely worth the 20 mins on the phone going through the policy.
75,Excellent help from claims team with no hassle and all questions answered
76,Be very careful i was passed from pillar to post for days on end. finally exactly what I feared has happened.  double charged me. Even though I was assured this would not happen.
77,"I phoned  and got a quote from a very polite customer adviser. I needed to insure my main home also a holiday home and on both quotes the price was just right.
Thank all your staff for their care and attention."
78,From the start of making my claim on my home insurance the claim was dealt with quickly and efficiently. The service received from  was excellent. I even had a phone call to make sure that they hadnt mislaid my final bill as they hadnt reimbursed me but I hadnt submitted it due to the repairs not being done due to the bad weather. I would definitely recommend  Home Insurance I couldnt have asked for a better claims experience! Thank you
79,Had a claim for a cabinet unit accidentally broken whilst decorating claim submitted and settled within 2 weeks money in my account staff etc could not be so helpful it was a pleasure and it is not many people can say that
80,Happy with policy but this was to replace cover elsewhere which did not expire for a further ten days . I do not recall seeing a page giving me the option to start my policy on a set date on application and not on purchase either. I rang  to be told they could cancel my policy and I could start again but they could not redate to coincide with other renewal. So rather than all the hassle I left dates as they were and  had two lots of cover for about 10 days - need to make this clearer or be more flexible to change start dates  even if it was their customers error in not seeing something in application process
81,First time buying from good help given through options on the telephone.
82,Only issue was Insured amount much higher than total assets in the property
83,Although we werent allowed our total claim put in by the builder we feel the amount offered was fair.  made the claim process easy and straight forward and I would certainly recommend them
84,Having filled everything online and submitting I realised i needed to change a few things. Customer services very quickly changed things to my satisfaction and issued a revised policy schedule.
85, was easy to access on line for a quote and when I phoned to purchase the policy I could not fault their service very efficient and helpful I also changed another insurance policy that was due for renewal as I was so pleased with their service. Would highly recommend
86,We already have our cars on a group insurance so decided to see if  could beat my home insurance renewal. They did!! Fantastic customer service and would highly recommend them.
87,"finally rewarded 10 more years no claims!
pretty quick response and kindly handled.
really bad mood from the damage has been changed
to somewhat pleasant one thanks to your service."
88,recently bought contents insurance online very easy to follow the form and love that you have the option to change excess add accidental damage and the fact that it increases your cover at holiday times. Have made a saving in the first year so very pleased. Clear and concise information given regarding cover at each step. Easy to print off all the forms and again all the information clear and transparent so you know exactly what you are covered for. Received a follow up call the same day to ensure I knew the key facts of the insurance cover and what the excess was. Great customer service and would definitely recommend  to friends. Follow the rules of selling insurance at each step of the way what more can you ask for.
89,"We submitted a claim as we had water pouring into the house bypassing window frames and getting into the cavity.
An Assessor visited the house saw the damage and gave us payment for repairs there and then. Brilliant!"
90,"Very easy website and good price quoted on line with extra discounts for buying both house and contents insurance together.
I would certainly recommend  for all types of insurances in fact I also found them to be the best for my car insurance."
91,This was set up by phone but because i was unable to purchase on line i still received the same discount and the rep. was exceptionally helpful.
92,It was a pleasure to get my house building insurance with  all terms explained and yes it save me lots of money  the gentleman on the phone so helpful and polite  would recommend this five star services to any one
93,easy to do on line documents came through very quick and best of all the price was very good been with previous company a while now but they could not offer the same at the start only a cash back 3months later but you want it when you are taking the policy out not later on. very pleased with this purchase I just hope its the same if you have to make a claim.
94,Very smooth transaction. Treated politely and speedily by customer Services. Couldnt fault the service.
95,Due to unique additional cover required on our policy both the agent on the phone and underwriter worked absolute miracles to not only arrange the extra cover but to arrange it at no extra cost to ourselves. Brilliant !!
96,Great customer service the first time Id attempted to do my insurance online very helpful when I needed to ring for advice!
97,efficient and easy to navigate to obtain a realistic quote
98,We needed contents insurance for a home we rent after using another company for 5 years. Normally we just renewed with them because it was easy and seemed to be affordable. Upon looking at our renewal in March we saw the premeium had gone up alot and yet we have made no claims ever
99,Had to make 2 claims in 2 months both times our claim was dealt with quickly sensibly and without fuss or quibble.
100,"Went to  as had positive prior experience with motor and property insurance. Policy features and Benefits rated as average as I have not had need to make a claim so I dont know what the real world  has to offer.
I bought my policies over the phone the sales staff were excellent and the whole process was easy and most importantly went at my pace. No pressure to buy afforded me the opportunity to really consider my insurance needs and make a decision I am happy with."
101,site easy to use good value for money would use again
102,We all experienced the bad weather. I had the minor problem of a chimney pot blowing off and my garage roof loosing some panels. Although the phone lines for non emergency calls was busy the online form was easy to fill in and I received a confirmation email with my claims number very quickly. They sent an assessor out and he okd my claim and agreed to let me use my own builders. Everything was easy and quick when considering how busy that period of time was the service was excellent. I would recommend  to anyone. I also have my car insurance with them best price by far!!!!!
103,Easy to access online. Value for money Cheapest quote I had found.
104,"Call centre staff were knowledgeable and very patient in explaining all the different options/additions available with the buildings and contents policy.
A particular clause was very carefully explained so that I fully understood how it affected the policy."
105,Very friendly staff and I saved by swapping to  Thankyou.
106,"Very easy to use and straight forward. Options help
create own needs and so suits all budgets. Great value."
107,After a quotation online and gaining quotes from other companies (do not believe in price comparison sites) I completed my online application and received posted confirmation days later. Great service and value for money
108,"I was with an alternative provider and went on the Go Compare website where I located . I called them and went through everything in fine detail and they gave me a great price and better cover on my Home Insurance cover.
The lady whom I spoke to was extremely helpful and went through every category with me in great detail. When my car and motor cycle insurance is due I will be transferring that to  as well."
109,nice and easy to use the  site on the internet. passed info on for two more people to sign up. great price.
110,Having enjoy a number of policy with  over the years pension endowment etc since last year car insurance now house cover  next will be my wife car insurance. I very much appreciate the easiest online website and the excellent follow up service. Well done.
111,I found them very easy to deal with and very helpful and had no trouble getting in touch
112,I wasnt impressed with the builders I was sent ended up stopping the plumber coming back and got my own ..cost me a lot more than they gave me for the repairs as plumber damaged tiles and bath trim ...wont be trusting anyone again ..they came recommended from the insurance .. the guys who stripped the wallpaper got water in my sockets so couldnt turn lights off and sparking .had to get a electrian out at night to change socket ..I wont be using these again ever .. was not impressed at all ..decorators were good only after they went did I see paint all over the kitchen cupboards and meter cupboard .plasterer had plaster all over my floor didnt sheet up and they wondered why I wasnt impressed
113,"The service was excellent and quick - 1 week before vouchers for replacement electronics were sent.
However could only use vouchers at Currys which has the highest prices on the high street - could have got the same replacement much cheaper elsewhere and saved  some money!"
