Neighborhood,Exterior1st,YearBuilt,LotFrontage,GrLivArea,GarageArea,BedroomAbvGr,FullBath,OverallQual,HeatingQC,SalePrice
CollgCr,VinylSd,2003,65.0,1710,548,3,2,7,Ex,208500
Veenker,MetalSd,1976,80.0,1262,460,3,2,6,Ex,181500
CollgCr,VinylSd,2001,68.0,1786,608,3,2,7,Ex,223500
Crawfor,Wd Sdng,1915,60.0,1717,642,3,1,7,Gd,140000
NoRidge,VinylSd,2000,84.0,2198,836,4,2,8,Ex,250000
Mitchel,VinylSd,1993,85.0,1362,480,1,1,5,Ex,143000
Somerst,VinylSd,2004,75.0,1694,636,3,2,8,Ex,307000
NWAmes,HdBoard,1973,,2090,484,3,2,7,Ex,200000
OldTown,BrkFace,1931,51.0,1774,468,2,2,7,Gd,129900
BrkSide,MetalSd,1939,50.0,1077,205,2,1,5,Ex,118000
Sawyer,HdBoard,1965,70.0,1040,384,3,1,5,Ex,129500
NridgHt,WdShing,2005,85.0,2324,736,4,3,9,Ex,345000
Sawyer,HdBoard,1962,,912,352,2,1,5,TA,144000
CollgCr,VinylSd,2006,91.0,1494,840,3,2,7,Ex,279500
NAmes,MetalSd,1960,,1253,352,2,1,6,TA,157000
BrkSide,Wd Sdng,1929,51.0,854,576,2,1,7,Ex,132000
NAmes,Wd Sdng,1970,,1004,480,2,1,6,Ex,149000
Sawyer,MetalSd,1967,72.0,1296,516,2,2,4,TA,90000
SawyerW,VinylSd,2004,66.0,1114,576,3,1,5,Ex,159000
NAmes,BrkFace,1958,70.0,1339,294,3,1,5,TA,139000
NridgHt,VinylSd,2005,101.0,2376,853,4,3,8,Ex,325300
IDOTRR,Wd Sdng,1930,57.0,1108,280,3,1,7,Ex,139400
CollgCr,VinylSd,2002,75.0,1795,534,3,2,8,Ex,230000
MeadowV,CemntBd,1976,44.0,1060,572,3,1,5,TA,129900
Sawyer,Plywood,1968,,1060,270,3,1,5,Ex,154000
NridgHt,VinylSd,2007,110.0,1600,890,3,2,8,Ex,256300
NAmes,Wd Sdng,1951,60.0,900,576,3,1,5,TA,134800
NridgHt,VinylSd,2007,98.0,1704,772,3,2,8,Ex,306000
NAmes,MetalSd,1957,47.0,1600,319,2,1,5,TA,207500
BrkSide,MetalSd,1927,60.0,520,240,1,1,4,Fa,68500
IDOTRR,BrkFace,1920,50.0,1317,250,3,1,4,TA,40000
Sawyer,HdBoard,1966,,1228,271,3,1,5,Gd,149350
CollgCr,VinylSd,2007,85.0,1234,484,3,2,8,Ex,179900
NAmes,BrkFace,1959,70.0,1700,447,4,1,5,Gd,165500
NridgHt,MetalSd,2005,60.0,1561,556,2,2,9,Ex,277500
NridgHt,VinylSd,2004,108.0,2452,691,4,3,8,Ex,309000
CollgCr,VinylSd,1994,112.0,1097,672,3,1,5,Ex,145000
NAmes,Wd Sdng,1954,74.0,1297,498,3,1,5,Gd,153000
NAmes,VinylSd,1953,68.0,1057,246,3,1,5,TA,109000
Edwards,AsbShng,1955,65.0,1152,0,2,2,4,TA,82000
NAmes,Wd Sdng,1965,84.0,1324,440,3,2,6,Ex,160000
Timber,VinylSd,1959,115.0,1328,308,2,1,5,Gd,170000
SawyerW,HdBoard,1983,,884,504,2,1,5,Gd,144000
CollgCr,VinylSd,1975,,938,308,3,1,5,TA,130250
NAmes,BrkFace,1959,70.0,1150,300,3,1,5,Ex,141000
NridgHt,MetalSd,2005,61.0,1752,576,2,2,9,Ex,319900
Mitchel,VinylSd,2003,48.0,2149,670,1,1,7,Ex,239686
Somerst,VinylSd,2006,84.0,1656,826,3,2,8,Ex,249700
OldTown,MetalSd,1920,33.0,1452,0,2,2,4,Gd,113000
Sawyer,HdBoard,1966,66.0,955,386,3,1,5,Ex,127000
Gilbert,VinylSd,1997,,1470,388,3,2,6,Gd,177000
BrkSide,Wd Sdng,1934,52.0,1176,528,3,1,6,TA,114500
IDOTRR,Wd Sdng,1963,110.0,816,516,2,1,5,TA,110000
Veenker,WdShing,1981,68.0,1842,894,0,0,9,Gd,385000
NAmes,MetalSd,1955,60.0,1360,572,3,1,5,TA,130000
NAmes,HdBoard,1964,100.0,1425,576,3,2,6,Gd,180500
Somerst,MetalSd,1999,24.0,1739,480,3,2,8,Ex,172500
CollgCr,VinylSd,2004,89.0,1720,565,3,2,7,Ex,196500
StoneBr,VinylSd,2006,66.0,2945,641,3,3,10,Ex,438780
CollgCr,HdBoard,1972,60.0,780,352,2,1,5,Ex,124900
SawyerW,VinylSd,2004,63.0,1158,576,3,1,6,Ex,158000
IDOTRR,MetalSd,1920,60.0,1111,288,3,1,5,TA,101000
NridgHt,VinylSd,2006,44.0,1370,484,2,2,8,Ex,202500
OldTown,Stucco,1921,50.0,1710,480,3,2,7,Gd,140000
CollgCr,VinylSd,1997,,2034,645,3,2,7,Ex,219500
NridgHt,VinylSd,2004,76.0,2473,852,4,2,8,Ex,317000
NAmes,Plywood,1970,,2207,576,3,2,7,TA,180000
CollgCr,VinylSd,2003,72.0,1479,558,3,2,7,Ex,226000
OldTown,MetalSd,1945,47.0,747,220,2,1,4,TA,80000
ClearCr,BrkFace,1953,81.0,2287,667,3,2,7,TA,225000
NAmes,Plywood,1973,95.0,2223,516,3,2,7,Ex,244000
Mitchel,HdBoard,1982,69.0,845,360,2,1,4,TA,129500
Gilbert,VinylSd,1998,74.0,1718,427,3,2,7,Gd,185000
NAmes,Wd Sdng,1954,85.0,1086,490,3,1,5,Gd,144900
OldTown,VinylSd,1915,60.0,1605,379,3,2,3,Gd,107400
MeadowV,CemntBd,1973,21.0,988,297,2,1,4,TA,91000
NAmes,VinylSd,1956,,952,283,2,1,4,Ex,135750
BrkSide,Wd Sdng,1948,50.0,1285,240,2,1,5,TA,127000
Sawyer,HdBoard,1968,72.0,1768,0,4,2,4,TA,136500
OldTown,Wd Sdng,1910,60.0,1230,440,2,1,5,Gd,110000
NAmes,VinylSd,1968,100.0,2142,509,4,2,6,TA,193500
Mitchel,VinylSd,1998,32.0,1337,405,2,2,6,Ex,153500
Somerst,VinylSd,2007,78.0,1563,758,3,2,8,Ex,245000
NAmes,MetalSd,1960,80.0,1065,461,3,1,5,Gd,126500
Gilbert,HdBoard,1995,,1474,400,3,2,7,Gd,168500
NoRidge,HdBoard,1991,121.0,2417,462,4,2,8,Ex,260000
Gilbert,VinylSd,2005,122.0,1560,400,3,2,6,Ex,174000
Somerst,VinylSd,2009,40.0,1224,528,2,2,6,Ex,164500
IDOTRR,Plywood,1915,105.0,1526,0,2,1,3,TA,85000
CollgCr,VinylSd,1994,60.0,990,0,3,1,4,Ex,123600
NAmes,BrkFace,1950,60.0,1040,420,2,1,4,TA,109900
NAmes,HdBoard,1961,85.0,1235,480,2,1,5,TA,98600
Crawfor,Wd Sdng,1921,80.0,964,432,2,1,5,Ex,163500
OldTown,MetalSd,1910,60.0,2291,506,4,2,6,Ex,133900
CollgCr,VinylSd,1997,69.0,1786,684,3,2,6,Ex,204750
Gilbert,VinylSd,1993,,1470,420,3,2,6,Gd,185000
CollgCr,VinylSd,1999,78.0,1588,472,3,2,7,Ex,214000
Edwards,HdBoard,1965,73.0,960,432,3,1,4,TA,94750
Edwards,Wd Sdng,1920,85.0,835,366,2,1,5,Fa,83000
NAmes,Plywood,1959,77.0,1225,0,3,1,4,Fa,128950
