Name of State/ UT	Parliamentary Constituency	Candidate Name	Total Votes Polled	Winner or Not?	Party Abbreviation	Party Name
Andhra Pradesh	Adilabad	GODAM NAGESH	430847	yes	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Adilabad	NETHAWATH RAMDAS	41032	no	IND	Independent
Andhra Pradesh	Adilabad	RAMESH RATHOD	184198	no	TDP	Telugu Desam
Andhra Pradesh	Adilabad	RATHOD SADASHIV	94420	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Adilabad	MOSALI CHINNAIAH	8859	no	IND	Independent
Andhra Pradesh	Adilabad	NARESH	259557	no	INC	Indian National Congress
Andhra Pradesh	Adilabad	PAWAR KRISHNA	5055	no	IND	Independent
Andhra Pradesh	Adilabad	BANKA SAHADEV	4787	no	IND	Independent
Andhra Pradesh	Adilabad	None of the Above	17084	no	NOTA	None of the Above
Andhra Pradesh	Peddapalle	BALKA SUMAN	565496	yes	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Peddapalle	None of the Above	5361	no	NOTA	None of the Above
Andhra Pradesh	Peddapalle	G. VIVEKANAND	274338	no	INC	Indian National Congress
Andhra Pradesh	Peddapalle	KALVALA SHANKAR	9290	no	PPOI	Pyramid Party of India
Andhra Pradesh	Peddapalle	MOUTAM RAVINDER	2674	no	IND	Independent
Andhra Pradesh	Peddapalle	VELTHURU MALLAIAH	45977	no	RP(K)	Republican Paksha (Khoripa)
Andhra Pradesh	Peddapalle	DR.JANAPATI SARAT BABU	63334	no	TDP	Telugu Desam
Andhra Pradesh	Peddapalle	KAMILLA JAYA RAO	2742	no	IND	Independent
Andhra Pradesh	Peddapalle	THALLAPALLI SRINIVAS	3699	no	IND	Independent
Andhra Pradesh	Peddapalle	VENKATA SWAMY INJAM	3866	no	MaSP	Mahajana Socialist Party
Andhra Pradesh	Peddapalle	GORRE RAMESH	2361	no	IND	Independent
Andhra Pradesh	Peddapalle	BUPELLI NARAYANA	7258	no	IND	Independent
Andhra Pradesh	Peddapalle	BOTHA VENKATA MALLAIAH	2245	no	BCUF	B. C. United Front
Andhra Pradesh	Peddapalle	JINNA RAMADEVI	9199	no	IND	Independent
Andhra Pradesh	Peddapalle	J.V. RAJU	3020	no	NIP	New India Party
Andhra Pradesh	Peddapalle	GADDALA VINAY KUMAR	3266	no	IND	Independent
Andhra Pradesh	Peddapalle	KALVALA SANJEEV	8609	no	RPI	Republican Party of India
Andhra Pradesh	Peddapalle	TAGARAM SHANKAR LAL	9449	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Karimnagar	VINOD KUMAR BOINAPALLY	505783	yes	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Karimnagar	SRINIVAS REDDY LINGAMPALLY	3865	no	IND	Independent
Andhra Pradesh	Karimnagar	RANAVENI LAKSHMAN	2062	no	NIP	New India Party
Andhra Pradesh	Karimnagar	MALLESH YADAV BARLA	2760	no	IND	Independent
Andhra Pradesh	Karimnagar	REDDI MALLA SRINIVAS	8040	no	RPI(A)	Republican Party of India (A)
Andhra Pradesh	Karimnagar	BURLA. RAVI	4769	no	NCP	Nationalist Congress Party
Andhra Pradesh	Karimnagar	KANDEM PRABHAKAR	4731	no	IND	Independent
