MDL_YR,FCTRY_CD,MDL_NM,SALE_MTH,QTY
2008,HCM,RIDGELINE,2007-06,19
2008,ELP,ELEMENT,2007-07,446
2008,HMA,PILOT,2007-07,565
2008,MAP,TL,2007-07,292
2008,CSS,TSX,2007-07,740
2008,ELP,CIVIC,2007-08,114
2008,ELP,ELEMENT,2007-08,1237
2008,MAP,RDX,2007-08,1062
2008,CSS,RL,2007-08,268
2008,CSS,ACCORD,2007-09,3390
2008,HCM,CIVIC,2007-09,4217
2008,CSS,CRV,2007-09,2159
2008,SSS,FIT,2007-09,2622
2008,HCM,MDX,2007-09,1847
2008,HMA,PILOT,2007-09,4866
2008,HCM,RIDGELINE,2007-09,913
2008,MAP,TL,2007-09,1919
2008,CSS,TSX,2007-09,1746
2008,CSS,ACCORD,2007-10,5305
2008,ELP,CIVIC,2007-10,7410
2008,ELP,CRV,2007-10,577
2008,HMA,ODYSSEY,2007-10,170
2008,MAP,RDX,2007-10,1808
2008,CSS,RL,2007-10,332
2008,MAP,ACCORD,2007-11,18731
2008,HCM,CIVIC,2007-11,10677
2008,SSS,CIVIC,2007-11,1996
2008,CSS,CRV,2007-11,13613
2008,HDM,CRV,2007-11,10
2008,ELP,ELEMENT,2007-11,1970
2008,SSS,FIT,2007-11,5173
2008,HCM,MDX,2007-11,4283
2008,HMA,PILOT,2007-11,5277
2008,HCM,RIDGELINE,2007-11,1745
2008,SSS,S2000,2007-11,61
2008,MAP,TL,2007-11,3654
2008,CSS,TSX,2007-11,1755
2008,MAP,ACCORD,2007-12,19571
2008,ELP,CIVIC,2007-12,9723
2008,CSS,CRV,2007-12,13753
2008,HDM,CRV,2007-12,1727
2008,ELP,ELEMENT,2007-12,2546
2008,SSS,FIT,2007-12,4790
2008,HCM,MDX,2007-12,5213
2008,MAP,TL,2007-12,5265
2008,CSS,TSX,2007-12,2461
2008,CSS,ACCORD,2008-01,5656
2008,HCM,CIVIC,2008-01,10860
2008,SSS,CIVIC,2008-01,2189
2008,CSS,CRV,2008-01,12740
2008,HDM,CRV,2008-01,1692
2008,ELP,ELEMENT,2008-01,2433
2008,SSS,FIT,2008-01,4648
2008,HCM,MDX,2008-01,4313
2008,HMA,PILOT,2008-01,9251
2008,HCM,RIDGELINE,2008-01,2386
2008,SSS,S2000,2008-01,132
2008,MAP,TL,2008-01,3762
2008,CSS,TSX,2008-01,2309
2008,CSS,ACCORD,2008-02,5778
2008,ELP,CIVIC,2008-02,8717
2008,CSS,CRV,2008-02,10789
2008,HDM,CRV,2008-02,1334
2008,ELP,ELEMENT,2008-02,2447
2008,SSS,FIT,2008-02,4305
2008,HCM,MDX,2008-02,4486
2008,MAP,TL,2008-02,4095
2008,CSS,TSX,2008-02,2273
2008,MAP,ACCORD,2008-03,27453
2008,HCM,CIVIC,2008-03,15220
2008,SSS,CIVIC,2008-03,4142
2008,ELP,CRV,2008-03,4209
2008,HMA,ODYSSEY,2008-03,12721
2008,HMA,PILOT,2008-03,10111
2008,MAP,RDX,2008-03,1715
2008,HCM,RIDGELINE,2008-03,3614
2008,CSS,RL,2008-03,543
2008,SSS,S2000,2008-03,228
2008,CSS,ACCORD,2008-04,7225
2008,HCM,CIVIC,2008-04,17827
2008,SSS,CIVIC,2008-04,4518
2008,ELP,CRV,2008-04,4822
2008,ELP,ELEMENT,2008-04,2869
2008,HMA,PILOT,2008-04,8309
2008,MAP,RDX,2008-04,1655
2008,HCM,RIDGELINE,2008-04,4097
2008,CSS,RL,2008-04,552
2008,SSS,S2000,2008-04,242
2009,CSS,TSX,2008-04,911
2008,MAP,ACCORD,2008-05,33562
2008,ELP,CIVIC,2008-05,17265
2008,ELP,ELEMENT,2007-06,38
2008,HMA,PILOT,2007-06,13
2008,CSS,TSX,2007-06,2
2008,MAP,RDX,2007-07,83
2008,HCM,RIDGELINE,2007-07,177
2008,CSS,RL,2007-07,42
2008,HCM,CIVIC,2007-08,3
2008,CSS,CRV,2007-08,1
2008,SSS,FIT,2007-08,80
2008,HCM,MDX,2007-08,33
2008,HMA,PILOT,2007-08,3307
2008,HCM,RIDGELINE,2007-08,475
2008,MAP,TL,2007-08,1633
2008,CSS,TSX,2007-08,2033
2008,MAP,ACCORD,2007-09,6185
2008,ELP,CIVIC,2007-09,3533
2008,ELP,CRV,2007-09,1
2008,ELP,ELEMENT,2007-09,1666
2008,MAP,RDX,2007-09,1439
2008,CSS,RL,2007-09,244
2008,MAP,ACCORD,2007-10,17787
2008,HCM,CIVIC,2007-10,10005
2008,SSS,CIVIC,2007-10,384
2008,CSS,CRV,2007-10,10299
2008,ELP,ELEMENT,2007-10,2020
2008,SSS,FIT,2007-10,4638
2008,HCM,MDX,2007-10,4094
2008,HMA,PILOT,2007-10,5934
2008,HCM,RIDGELINE,2007-10,1417
2008,SSS,S2000,2007-10,30
2008,MAP,TL,2007-10,2477
2008,CSS,TSX,2007-10,2156
2008,CSS,ACCORD,2007-11,4780
2008,ELP,CIVIC,2007-11,8609
2008,ELP,CRV,2007-11,831
2008,HMA,ODYSSEY,2007-11,2257
2008,MAP,RDX,2007-11,1527
2008,CSS,RL,2007-11,361
2008,CSS,ACCORD,2007-12,6493
2008,HCM,CIVIC,2007-12,11500
2008,SSS,CIVIC,2007-12,2704
2008,ELP,CRV,2007-12,1320
2008,HMA,ODYSSEY,2007-12,5122
2008,HMA,PILOT,2007-12,9430
2008,MAP,RDX,2007-12,1910
2008,HCM,RIDGELINE,2007-12,2965
2008,CSS,RL,2007-12,518
2008,SSS,S2000,2007-12,65
2008,MAP,ACCORD,2008-01,18594
2008,ELP,CIVIC,2008-01,8329
2008,ELP,CRV,2008-01,2045
2008,HMA,ODYSSEY,2008-01,7469
2008,MAP,RDX,2008-01,1628
2008,CSS,RL,2008-01,419
2008,MAP,ACCORD,2008-02,21032
2008,HCM,CIVIC,2008-02,11610
2008,SSS,CIVIC,2008-02,2923
2008,ELP,CRV,2008-02,3427
2008,HMA,ODYSSEY,2008-02,10798
2008,HMA,PILOT,2008-02,12933
2008,MAP,RDX,2008-02,1662
2008,HCM,RIDGELINE,2008-02,3434
2008,CSS,RL,2008-02,396
2008,SSS,S2000,2008-02,141
2008,CSS,ACCORD,2008-03,7936
2008,ELP,CIVIC,2008-03,12657
2008,CSS,CRV,2008-03,12911
2008,HDM,CRV,2008-03,1745
2008,ELP,ELEMENT,2008-03,3134
2008,SSS,FIT,2008-03,6825
2008,HCM,MDX,2008-03,4422
2008,MAP,TL,2008-03,4229
2008,CSS,TSX,2008-03,2246
2008,MAP,ACCORD,2008-04,27020
2008,ELP,CIVIC,2008-04,11500
2008,CSS,CRV,2008-04,11966
2008,HDM,CRV,2008-04,1537
2008,SSS,FIT,2008-04,5918
2008,HCM,MDX,2008-04,3855
2008,HMA,ODYSSEY,2008-04,13017
2008,MAP,TL,2008-04,4258
2008,CSS,TSX,2008-04,1700
2008,CSS,ACCORD,2008-05,8087
2008,HCM,CIVIC,2008-05,29019
2008,SSS,CIVIC,2008-05,4694
2008,ELP,CRV,2008-05,5879
2008,ELP,ELEMENT,2008-05,2531
2008,HMA,PILOT,2008-05,6812
2008,MAP,RDX,2008-05,1288
2008,HCM,RIDGELINE,2008-05,3275
2008,CSS,RL,2008-05,363
2008,CSS,CRV,2008-05,11317
2008,HDM,CRV,2008-05,1916
2008,SSS,FIT,2008-05,7857
2008,HCM,MDX,2008-05,4061
2008,HMA,ODYSSEY,2008-05,12110
2009,HMA,PILOT,2008-05,1143
2008,MAP,TL,2008-05,4023
2008,CSS,TSX,2008-05,910
2008,MAP,ACCORD,2008-06,32273
2008,HCM,CIVIC,2008-06,25997
2008,SSS,CIVIC,2008-06,2887
2008,CSS,CRV,2008-06,8460
2008,HDM,CRV,2008-06,1671
2008,SSS,FIT,2008-06,10388
2008,HCM,MDX,2008-06,3642
2008,HMA,ODYSSEY,2008-06,13162
2008,HMA,PILOT,2008-06,3927
2009,MAP,RDX,2008-06,30
2008,HCM,RIDGELINE,2008-06,2398
2009,CSS,RL,2008-06,32
2008,SSS,S2000,2008-06,218
2008,MAP,TL,2008-06,3691
2008,CSS,TSX,2008-06,674
2008,CSS,ACCORD,2008-07,7870
2008,ELP,CIVIC,2008-07,7542
2008,ELP,CRV,2008-07,6802
2008,ELP,ELEMENT,2008-07,2205
2009,SSS,FIT,2008-07,1
2009,HCM,MDX,2008-07,13
2009,HMA,PILOT,2008-07,4545
2008,MAP,RDX,2008-07,1258
2008,CSS,RL,2008-07,177
2009,CSS,TSX,2008-07,2955
2009,CSS,ACCORD,2008-08,582
2008,MAP,ACCORD,2008-08,28359
2009,ELP,CIVIC,2008-08,146
2008,HCM,CIVIC,2008-08,17661
2008,SSS,CIVIC,2008-08,2917
2008,CSS,CRV,2008-08,9015
2008,HDM,CRV,2008-08,1950
2008,ELP,ELEMENT,2008-08,2385
2008,TSS,FCX,2008-08,1
2008,SSS,FIT,2008-08,4051
2008,HCM,MDX,2008-08,4358
2008,HMA,PILOT,2008-08,2128
2009,MAP,RDX,2008-08,179
2009,CSS,RL,2008-08,164
2008,SSS,S2000,2008-08,160
2008,MAP,TL,2008-08,4468
2008,CSS,TSX,2008-08,207
2008,CSS,ACCORD,2008-09,1662
2009,MAP,ACCORD,2008-09,15235
2008,ELP,CIVIC,2008-09,3010
2009,HCM,CIVIC,2008-09,5226
2009,SSS,CIVIC,2008-09,1205
2009,CSS,CRV,2008-09,382
2008,ELP,CRV,2008-09,8333
2009,SSS,FIT,2008-09,6386
2009,HCM,MDX,2008-09,286
2008,HMA,ODYSSEY,2008-09,12183
