STATE,COUNTY,STNAME,CTYNAME
1,0,Alabama,Alabama
1,1,Alabama,Autauga County
1,3,Alabama,Baldwin County
1,5,Alabama,Barbour County
1,7,Alabama,Bibb County
1,9,Alabama,Blount County
1,11,Alabama,Bullock County
1,13,Alabama,Butler County
1,15,Alabama,Calhoun County
1,17,Alabama,Chambers County
1,19,Alabama,Cherokee County
1,21,Alabama,Chilton County
1,23,Alabama,Choctaw County
1,25,Alabama,Clarke County
1,27,Alabama,Clay County
1,29,Alabama,Cleburne County
1,31,Alabama,Coffee County
1,33,Alabama,Colbert County
1,35,Alabama,Conecuh County
1,37,Alabama,Coosa County
1,39,Alabama,Covington County
1,41,Alabama,Crenshaw County
1,43,Alabama,Cullman County
1,45,Alabama,Dale County
1,47,Alabama,Dallas County
1,49,Alabama,DeKalb County
1,51,Alabama,Elmore County
1,53,Alabama,Escambia County
1,55,Alabama,Etowah County
1,57,Alabama,Fayette County
1,59,Alabama,Franklin County
1,61,Alabama,Geneva County
1,63,Alabama,Greene County
1,65,Alabama,Hale County
1,67,Alabama,Henry County
1,69,Alabama,Houston County
1,71,Alabama,Jackson County
1,73,Alabama,Jefferson County
1,75,Alabama,Lamar County
1,77,Alabama,Lauderdale County
1,79,Alabama,Lawrence County
1,81,Alabama,Lee County
1,83,Alabama,Limestone County
1,85,Alabama,Lowndes County
1,87,Alabama,Macon County
1,89,Alabama,Madison County
1,91,Alabama,Marengo County
1,93,Alabama,Marion County
1,95,Alabama,Marshall County
1,97,Alabama,Mobile County
1,99,Alabama,Monroe County
1,101,Alabama,Montgomery County
1,103,Alabama,Morgan County
1,105,Alabama,Perry County
1,107,Alabama,Pickens County
1,109,Alabama,Pike County
1,111,Alabama,Randolph County
1,113,Alabama,Russell County
1,115,Alabama,St. Clair County
1,117,Alabama,Shelby County
1,119,Alabama,Sumter County
1,121,Alabama,Talladega County
1,123,Alabama,Tallapoosa County
1,125,Alabama,Tuscaloosa County
1,127,Alabama,Walker County
1,129,Alabama,Washington County
1,131,Alabama,Wilcox County
1,133,Alabama,Winston County
2,0,Alaska,Alaska
2,13,Alaska,Aleutians East Borough
2,16,Alaska,Aleutians West Census Area
2,20,Alaska,Anchorage Municipality
2,50,Alaska,Bethel Census Area
2,60,Alaska,Bristol Bay Borough
2,63,Alaska,Chugach Census Area
2,66,Alaska,Copper River Census Area
2,68,Alaska,Denali Borough
2,70,Alaska,Dillingham Census Area
2,90,Alaska,Fairbanks North Star Borough
2,100,Alaska,Haines Borough
2,105,Alaska,Hoonah-Angoon Census Area
2,110,Alaska,Juneau City and Borough
2,122,Alaska,Kenai Peninsula Borough
2,130,Alaska,Ketchikan Gateway Borough
2,150,Alaska,Kodiak Island Borough
2,158,Alaska,Kusilvak Census Area
2,164,Alaska,Lake and Peninsula Borough
2,170,Alaska,Matanuska-Susitna Borough
2,180,Alaska,Nome Census Area
2,185,Alaska,North Slope Borough
2,188,Alaska,Northwest Arctic Borough
2,195,Alaska,Petersburg Borough
2,198,Alaska,Prince of Wales-Hyder Census Area
2,220,Alaska,Sitka City and Borough
2,230,Alaska,Skagway Municipality
2,240,Alaska,Southeast Fairbanks Census Area
2,275,Alaska,Wrangell City and Borough
2,282,Alaska,Yakutat City and Borough
2,290,Alaska,Yukon-Koyukuk Census Area
4,0,Arizona,Arizona
4,1,Arizona,Apache County
4,3,Arizona,Cochise County
4,5,Arizona,Coconino County
4,7,Arizona,Gila County
4,9,Arizona,Graham County
4,11,Arizona,Greenlee County
4,12,Arizona,La Paz County
4,13,Arizona,Maricopa County
4,15,Arizona,Mohave County
4,17,Arizona,Navajo County
4,19,Arizona,Pima County
4,21,Arizona,Pinal County
4,23,Arizona,Santa Cruz County
4,25,Arizona,Yavapai County
4,27,Arizona,Yuma County
5,0,Arkansas,Arkansas
5,1,Arkansas,Arkansas County
5,3,Arkansas,Ashley County
5,5,Arkansas,Baxter County
5,7,Arkansas,Benton County
5,9,Arkansas,Boone County
5,11,Arkansas,Bradley County
5,13,Arkansas,Calhoun County
5,15,Arkansas,Carroll County
5,17,Arkansas,Chicot County
5,19,Arkansas,Clark County
5,21,Arkansas,Clay County
5,23,Arkansas,Cleburne County
5,25,Arkansas,Cleveland County
5,27,Arkansas,Columbia County
5,29,Arkansas,Conway County
5,31,Arkansas,Craighead County
5,33,Arkansas,Crawford County
5,35,Arkansas,Crittenden County
5,37,Arkansas,Cross County
5,39,Arkansas,Dallas County
5,41,Arkansas,Desha County
5,43,Arkansas,Drew County
5,45,Arkansas,Faulkner County
5,47,Arkansas,Franklin County
5,49,Arkansas,Fulton County
5,51,Arkansas,Garland County
5,53,Arkansas,Grant County
5,55,Arkansas,Greene County
5,57,Arkansas,Hempstead County
5,59,Arkansas,Hot Spring County
5,61,Arkansas,Howard County
5,63,Arkansas,Independence County
5,65,Arkansas,Izard County
5,67,Arkansas,Jackson County
5,69,Arkansas,Jefferson County
5,71,Arkansas,Johnson County
5,73,Arkansas,Lafayette County
5,75,Arkansas,Lawrence County
5,77,Arkansas,Lee County
5,79,Arkansas,Lincoln County
5,81,Arkansas,Little River County
5,83,Arkansas,Logan County
5,85,Arkansas,Lonoke County
5,87,Arkansas,Madison County
5,89,Arkansas,Marion County
5,91,Arkansas,Miller County
5,93,Arkansas,Mississippi County
5,95,Arkansas,Monroe County
5,97,Arkansas,Montgomery County
5,99,Arkansas,Nevada County
5,101,Arkansas,Newton County
5,103,Arkansas,Ouachita County
5,105,Arkansas,Perry County
5,107,Arkansas,Phillips County
5,109,Arkansas,Pike County
5,111,Arkansas,Poinsett County
5,113,Arkansas,Polk County
5,115,Arkansas,Pope County
5,117,Arkansas,Prairie County
5,119,Arkansas,Pulaski County
5,121,Arkansas,Randolph County
5,123,Arkansas,St. Francis County
5,125,Arkansas,Saline County
5,127,Arkansas,Scott County
5,129,Arkansas,Searcy County
5,131,Arkansas,Sebastian County
5,133,Arkansas,Sevier County
5,135,Arkansas,Sharp County
5,137,Arkansas,Stone County
5,139,Arkansas,Union County
5,141,Arkansas,Van Buren County
5,143,Arkansas,Washington County
5,145,Arkansas,White County
5,147,Arkansas,Woodruff County
5,149,Arkansas,Yell County
6,0,California,California
6,1,California,Alameda County
6,3,California,Alpine County
6,5,California,Amador County
6,7,California,Butte County
6,9,California,Calaveras County
6,11,California,Colusa County
6,13,California,Contra Costa County
6,15,California,Del Norte County
6,17,California,El Dorado County
6,19,California,Fresno County
6,21,California,Glenn County
6,23,California,Humboldt County
6,25,California,Imperial County
6,27,California,Inyo County
6,29,California,Kern County
6,31,California,Kings County
6,33,California,Lake County
6,35,California,Lassen County
6,37,California,Los Angeles County
6,39,California,Madera County
6,41,California,Marin County
6,43,California,Mariposa County
6,45,California,Mendocino County
6,47,California,Merced County
6,49,California,Modoc County
6,51,California,Mono County
6,53,California,Monterey County
6,55,California,Napa County
6,57,California,Nevada County
6,59,California,Orange County
6,61,California,Placer County
6,63,California,Plumas County
6,65,California,Riverside County
6,67,California,Sacramento County
6,69,California,San Benito County
6,71,California,San Bernardino County
6,73,California,San Diego County
6,75,California,San Francisco County
6,77,California,San Joaquin County
6,79,California,San Luis Obispo County
6,81,California,San Mateo County
6,83,California,Santa Barbara County
6,85,California,Santa Clara County
6,87,California,Santa Cruz County
