Month,Sales
1965-01,154
1965-02,96
1965-03,73
1965-04,49
1965-05,36
1965-06,59
1965-07,95
1965-08,169
1965-09,210
1965-10,278
1965-11,298
1965-12,245
1966-01,200
1966-02,118
1966-03,90
1966-04,79
1966-05,78
1966-06,91
1966-07,167
1966-08,169
1966-09,289
1966-10,347
1966-11,375
1966-12,203
1967-01,223
1967-02,104
1967-03,107
1967-04,85
1967-05,75
1967-06,99
1967-07,135
1967-08,211
1967-09,335
1967-10,460
1967-11,488
1967-12,326
1968-01,346
1968-02,261
1968-03,224
1968-04,141
1968-05,148
1968-06,145
1968-07,223
1968-08,272
1968-09,445
1968-10,560
1968-11,612
1968-12,467
1969-01,518
1969-02,404
1969-03,300
1969-04,210
1969-05,196
1969-06,186
1969-07,247
1969-08,343
1969-09,464
1969-10,680
1969-11,711
1969-12,610
1970-01,613
1970-02,392
1970-03,273
1970-04,322
1970-05,189
1970-06,257
1970-07,324
1970-08,404
1970-09,677
1970-10,858
1970-11,895
1970-12,664
1971-01,628
1971-02,308
1971-03,324
1971-04,248
1971-05,272
